Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLine_Javascript,CountLine_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",Task1.java,1,1,1,1,6,0,4,3,,,,,50,20,1,,44,,21,27,41,,2,0,0,39,,924,107,,,,344,175,88,,,545,,,,,,,,,,119,228,167,,,61,,,,,,,,3,3,3,1,,,1,,,,1,58,59,59,59,38
Public Class,"A",A.java,0,0,0,0,0,0,0,0,1,1,1,0,,0,0,,,,0,1,0,0,0,0,0,0,,3,0,,,,3,2,1,,,0,,,,,,,,,,1,2,2,,,0,,,,,,,,0,0,0,0,,3,0,,0,0,0,00,0,0,0,0
Public Class,"A",A.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,4,0,,,,4,2,0,,,0,,,,,,,,,,0,2,2,,,0,,,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Public Class,"A",A.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,6,0,,,,6,3,0,,,0,,,,,,,,,,0,3,3,,,0,,,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Public Class,"A",A.java,0,0,0,0,0,0,0,0,1,1,1,0,,0,0,,,,0,1,0,0,0,0,0,0,,3,0,,,,3,2,1,,,0,,,,,,,,,,1,2,2,,,0,,,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Private Static Class,"A.Inner",A.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,2,0,,,,2,1,0,,,0,,,,,,,,,,0,1,1,,,0,,,,,,,,0,0,0,0,,3,0,,0,0,0,00,0,0,0,0
Private Static Class,"A.Inner",A.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,4,0,,,,4,2,0,,,0,,,,,,,,,,0,2,2,,,0,,,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Private Static Class,"A.Inner.Inner2",A.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,2,0,,,,2,1,0,,,0,,,,,,,,,,0,1,1,,,0,,,,,,,,0,0,0,0,,3,0,,0,0,0,00,0,0,0,0
File,"A.java",A.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,1,0,,0,0,0,0,,20,3,,,,3,2,1,,,14,,,,,,,,,,1,2,2,,,0,,,,,,,,0,0,0,0,,,0,,,,4,67,0,0,0,0
File,"A.java",A.java,1,1,1,1,3,0,3,0,,,,,1,2,1,3,,3,1,0,3,,0,0,1,2,,40,6,,,,17,7,6,,,17,,,,,,,,,,7,11,6,,,5,,,,,,,,1,1,1,1,,,0,,,,1,00,3,3,3,3
File,"A.java",A.java,0,0,0,0,0,0,0,0,,,,,2,0,0,0,,0,0,0,0,,0,0,0,0,,21,3,,,,4,2,0,,,14,,,,,,,,,,0,2,2,,,0,,,,,,,,0,0,0,0,,,0,,,,3,50,0,0,0,0
File,"A.java",A.java,0,0,0,0,0,0,0,0,,,,,3,0,0,0,,0,0,0,0,,0,0,0,0,,23,3,,,,6,3,0,,,14,,,,,,,,,,0,3,3,,,0,,,,,,,,0,0,0,0,,,0,,,,2,33,0,0,0,0
File,"A.java",A.java,0,0,0,0,0,0,0,0,,,,,2,0,0,0,,0,0,1,0,,0,0,0,0,,22,3,,,,5,3,1,,,14,,,,,,,,,,1,3,3,,,0,,,,,,,,0,0,0,0,,,0,,,,2,80,0,0,0,0
File,"ANTLR.java",ANTLR.java,2,2,2,1,13,0,8,4,,,,,1,0,1,24,,24,24,13,24,,0,4,2,18,,437,44,,,,248,78,137,,,145,,,,,,,,,,116,168,74,,,94,,,,,,,,10,10,10,4,,,3,,,,0,58,52,52,56,27
File,"ANTLRTest.java",ANTLRTest.java,1,1,1,1,4,0,3,1,,,,,3,0,1,21,,21,21,0,21,,0,0,0,21,,165,25,,,,85,30,34,,,55,,,,,,,,,,37,61,30,,,31,,,,,,,,1,1,1,1,,,0,,,,0,65,21,21,21,21
Class,"APrivate",A.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,2,0,,,,2,1,0,,,0,,,,,,,,,,0,1,1,,,0,,,,,,,,0,0,0,0,,3,0,,0,0,0,00,0,0,0,0
File,"AbstractAccessTask.java",AbstractAccessTask.java,1,1,1,1,9,0,4,5,,,,,1,0,0,6,,6,6,0,6,,0,0,1,5,,110,12,,,,36,15,15,,,62,,,,,,,,,,15,22,14,,,8,,,,,,,,2,2,3,1,,,0,,,,1,72,7,7,8,6
File,"AbstractAnalyzer.java",AbstractAnalyzer.java,1,1,1,1,14,0,6,7,,,,,1,0,1,14,,16,16,7,16,,0,1,5,10,,285,26,,,,114,39,57,,,145,,,,,,,,,,54,83,39,,,44,,,,,,,,7,7,7,6,,,4,,,,1,27,27,27,27,19
File,"AbstractClasspathResource.java",AbstractClasspathResource.java,2,2,2,1,11,0,8,3,,,,,3,0,0,18,,19,19,5,19,,1,0,4,14,,265,20,,,,157,40,89,,,88,,,,,,,,,,72,110,42,,,68,,,,,,,,6,6,7,3,,,3,,,,0,56,36,36,39,20
File,"AbstractCvsTask.java",AbstractCvsTask.java,2,2,2,1,14,0,7,5,,,,,2,0,3,47,,47,47,23,47,,0,2,9,36,,872,114,,,,414,120,239,,,344,,,,,,,,,,194,290,121,,,169,,,,,,,,18,18,20,1,,,3,,,,0,83,97,97,106,47
File,"AbstractCvsTaskTest.java",AbstractCvsTaskTest.java,1,1,1,1,3,0,3,0,,,,,1,0,0,7,,7,7,0,7,,0,0,0,7,,61,10,,,,32,13,13,,,19,,,,,,,,,,16,24,13,,,11,,,,,,,,1,1,1,1,,,0,,,,0,59,7,7,7,7
File,"AbstractFileSet.java",AbstractFileSet.java,1,1,1,1,11,0,6,4,,,,,1,0,0,66,,66,66,10,66,,0,0,3,63,,928,77,,,,498,128,269,,,353,,,,,,,,,,245,369,132,,,237,,,,,,,,7,7,10,5,,,3,,,,0,71,125,125,130,72
File,"AbstractFileSetTest.java",AbstractFileSetTest.java,4,4,4,1,40,1,38,1,,,,,1,0,0,5,,6,6,1,6,,0,0,2,4,,245,18,,,,201,19,165,,,29,,,,,,,,,,93,116,19,,,97,,,,,,,,14,14,14,1,,,1,,,,0,14,22,22,22,5
File,"AbstractHotDeploymentTool.java",AbstractHotDeploymentTool.java,1,1,1,1,8,0,3,4,,,,,1,0,0,12,,14,14,5,14,,0,0,2,12,,193,23,,,,59,23,19,,,111,,,,,,,,,,25,42,23,,,19,,,,,,,,4,4,4,1,,,1,,,,1,88,16,16,16,12
File,"AbstractJarSignerTask.java",AbstractJarSignerTask.java,1,1,1,1,11,0,5,5,,,,,1,0,2,24,,24,24,13,24,,0,1,10,13,,410,39,,,,170,70,83,,,201,,,,,,,,,,92,129,68,,,61,,,,,,,,4,4,4,1,,,2,,,,1,18,37,37,38,24
File,"AbstractResourceCollectionWrapper.java",AbstractResourceCollectionWrapper.java,2,2,3,1,13,0,9,4,,,,,1,0,1,10,,12,12,2,12,,0,1,4,7,,210,18,,,,113,31,57,,,79,,,,,,,,,,53,81,30,,,51,,,,,,,,6,6,6,5,,,2,,,,0,70,29,29,30,16
File,"AbstractScriptComponent.java",AbstractScriptComponent.java,1,1,1,1,8,0,3,5,,,,,1,0,0,12,,12,12,2,12,,0,0,2,10,,159,16,,,,54,23,19,,,89,,,,,,,,,,26,40,23,,,17,,,,,,,,2,2,2,1,,,1,,,,1,65,13,13,13,12
File,"AbstractSelectorContainer.java",AbstractSelectorContainer.java,1,1,1,1,9,0,5,4,,,,,1,0,0,30,,30,30,1,30,,0,0,1,29,,355,38,,,,170,50,80,,,147,,,,,,,,,,70,117,49,,,68,,,,,,,,5,5,5,3,,,3,,,,0,86,47,47,47,32
File,"AbstractSshMessage.java",AbstractSshMessage.java,1,1,1,1,11,0,6,4,,,,,3,0,1,17,,18,18,7,18,,0,0,9,9,,272,34,,,,142,54,76,,,96,,,,,,,,,,66,97,49,,,48,,,,,,,,7,7,7,1,,,4,,,,0,68,29,29,30,17
File,"AbstractUnicodeExtraField.java",AbstractUnicodeExtraField.java,1,1,1,1,8,0,5,2,,,,,1,0,0,13,,13,13,3,13,,0,1,3,9,,162,24,,,,83,25,40,,,55,,,,,,,,,,37,57,23,,,34,,,,,,,,3,3,3,1,,,1,,,,0,66,19,19,19,13
File,"AbstractXSLTLiaisonTest.java",AbstractXSLTLiaisonTest.java,1,1,1,1,8,0,7,0,,,,,1,0,1,6,,7,7,1,7,,0,0,4,3,,100,12,,,,62,30,33,,,28,,,,,,,,,,40,50,30,,,20,,,,,,,,2,2,2,1,,,1,,,,0,45,7,7,7,6
File,"AddTypeTest.java",AddTypeTest.java,1,1,1,1,3,0,3,0,,,,,14,0,0,31,,31,31,4,31,,0,0,0,31,,186,27,,,,141,59,41,,,18,,,,,,,,,,44,89,55,,,34,,,,,,,,1,1,1,1,,,0,,,,0,13,31,31,31,31
File,"AggregateTransformer.java",AggregateTransformer.java,1,1,1,1,14,0,9,5,,,,,2,1,6,14,,14,13,6,14,,0,0,5,9,,340,38,,,,175,78,95,,,127,,,,,,,,,,110,139,76,,,63,,,,,,,,5,5,5,1,,,2,,,,0,73,27,27,27,14
File,"Algorithm.java",Algorithm.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,48,7,,,,6,5,0,,,35,,,,,,,,,,4,5,5,,,0,,,,,,,,0,0,0,0,,,0,,,,5,83,0,0,0,0
Public Class,"Alpha",Alpha.java,1,1,1,1,3,0,3,0,1,0,0,1,,0,0,,,,1,0,1,1,0,0,0,1,,5,0,,,,5,2,1,,,0,,,,,,,,,,1,3,2,,,1,,,,,,,,1,1,1,1,,1,0,,0,0,0,00,1,1,1,1
File,"Alpha.java",Alpha.java,1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,21,2,,,,5,2,1,,,14,,,,,,,,,,1,3,2,,,1,,,,,,,,1,1,1,1,,,0,,,,2,80,1,1,1,1
Public Method,"Alpha.toString",Alpha.java,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,,,,3,1,1,,,0,,,,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
File,"AncestorAnalyzer.java",AncestorAnalyzer.java,6,6,6,2,34,2,23,8,,,,,1,0,0,3,,3,3,0,3,,0,0,2,1,,144,13,,,,83,29,51,,,48,,,,,,,,,,53,67,34,,,33,,,,,,,,14,14,15,5,,,5,,,,0,58,18,18,19,7
File,"And.java",And.java,1,1,1,1,8,0,4,4,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,58,7,,,,18,7,5,,,33,,,,,,,,,,8,13,8,,,5,,,,,,,,3,3,3,3,,,2,,,,1,83,5,5,5,5
File,"And.java",And.java,3,3,3,3,14,0,10,4,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,49,5,,,,15,7,6,,,29,,,,,,,,,,7,11,7,,,4,,,,,,,,3,3,3,3,,,2,,,,1,93,3,3,3,3
File,"AndSelector.java",AndSelector.java,2,2,2,1,13,0,8,5,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,77,9,,,,29,10,14,,,39,,,,,,,,,,14,21,10,,,11,,,,,,,,3,3,3,3,,,2,,,,1,34,6,6,6,5
File,"AnsiColorLogger.java",AnsiColorLogger.java,9,7,10,1,49,3,40,5,,,,,1,0,10,2,,2,2,6,2,,0,1,1,0,,243,15,,,,112,46,77,,,116,,,,,,,,,,62,78,38,,,40,,,,,,,,11,11,11,1,,,2,,,,1,04,19,15,20,2
File,"Ant.java",Ant.java,2,2,3,1,18,0,11,6,,,,,4,0,4,36,,36,36,15,36,,0,8,2,26,,843,84,,,,454,129,282,,,305,,,,,,,,,,206,305,125,,,180,,,,,,,,22,22,31,7,,,4,,,,0,67,99,99,110,44
File,"AntAnalyzer.java",AntAnalyzer.java,5,5,6,2,36,2,26,7,,,,,1,0,0,3,,3,3,0,3,,0,0,2,1,,150,13,,,,94,38,59,,,43,,,,,,,,,,61,75,41,,,34,,,,,,,,15,15,16,5,,,5,,,,0,46,17,17,18,7
File,"AntClassLoader.java",AntClassLoader.java,2,2,3,1,21,0,10,10,,,,,2,2,6,64,,64,62,13,64,,1,12,10,41,,1566,104,,,,741,214,447,,,727,,,,,,,,,,328,499,200,,,299,,,,,,,,12,12,14,9,,,4,,,,0,98,181,181,196,100
File,"AntClassLoader2.java",AntClassLoader2.java,1,1,1,1,3,0,2,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,31,3,,,,6,4,0,,,22,,,,,,,,,,2,4,4,,,0,,,,,,,,1,1,1,1,,,0,,,,3,67,1,1,1,1
File,"AntClassLoader5.java",AntClassLoader5.java,1,1,1,1,9,0,3,6,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,63,5,,,,19,12,3,,,39,,,,,,,,,,10,14,11,,,3,,,,,,,,1,1,1,1,,,0,,,,2,05,3,3,3,3
File,"AntClassLoader5Test.java",AntClassLoader5Test.java,1,1,1,1,7,0,5,1,,,,,2,0,0,4,,4,4,0,4,,0,0,0,4,,65,7,,,,34,18,13,,,24,,,,,,,,,,19,25,16,,,9,,,,,,,,1,1,1,1,,,0,,,,0,71,4,4,4,4
File,"AntClassLoaderDelegationTest.java",AntClassLoaderDelegationTest.java,1,1,1,1,8,0,7,1,,,,,2,1,2,7,,7,6,1,7,,0,1,1,5,,121,17,,,,74,38,42,,,32,,,,,,,,,,41,51,35,,,16,,,,,,,,2,2,2,1,,,1,,,,0,43,8,8,8,7
File,"AntClassLoaderPerformance.java",AntClassLoaderPerformance.java,3,3,3,1,23,0,21,2,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,55,5,,,,28,14,16,,,22,,,,,,,,,,17,22,14,,,8,,,,,,,,3,3,3,1,,,2,,,,0,79,3,3,3,1
File,"AntClassLoaderTest.java",AntClassLoaderTest.java,1,1,1,1,12,0,11,0,,,,,2,0,0,12,,12,12,2,12,,1,0,0,11,,191,17,,,,142,47,101,,,32,,,,,,,,,,88,107,43,,,64,,,,,,,,6,6,6,1,,,1,,,,0,23,18,18,18,12
File,"AntFilterReader.java",AntFilterReader.java,2,2,2,1,13,0,8,4,,,,,1,0,0,10,,10,10,3,10,,0,0,1,9,,177,15,,,,94,22,49,,,68,,,,,,,,,,39,64,20,,,44,,,,,,,,4,4,4,1,,,2,,,,0,72,24,24,26,10
File,"AntLikeTasksAtTopLevelTest.java",AntLikeTasksAtTopLevelTest.java,1,1,1,1,7,0,7,0,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,62,7,,,,35,8,19,,,21,,,,,,,,,,13,21,8,,,13,,,,,,,,2,2,2,1,,,1,,,,0,60,7,7,7,4
File,"AntMain.java",AntMain.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,42,3,,,,6,5,0,,,33,,,,,,,,,,3,4,4,,,0,,,,,,,,0,0,0,0,,,0,,,,5,50,0,0,0,0
File,"AntResolver.java",AntResolver.java,1,1,1,1,11,1,7,3,,,,,1,0,0,6,,6,6,3,6,,0,1,0,5,,116,14,,,,55,24,24,,,47,,,,,,,,,,30,41,22,,,19,,,,,,,,3,3,3,1,,,1,,,,0,85,10,10,10,6
File,"AntSoundPlayer.java",AntSoundPlayer.java,2,2,2,1,12,0,7,4,,,,,1,0,0,14,,14,14,6,14,,0,3,0,11,,249,33,,,,123,45,66,,,93,,,,,,,,,,59,85,43,,,42,,,,,,,,7,7,7,4,,,3,,,,0,76,28,28,30,19
File,"AntStructure.java",AntStructure.java,4,4,5,1,28,1,21,5,,,,,3,2,4,13,,17,15,3,17,,4,2,2,9,,488,48,,,,316,77,216,,,124,,,,,,,,,,179,236,74,,,162,,,,,,,,28,28,35,6,,,6,,,,0,39,55,55,66,22
File,"AntStructureTest.java",AntStructureTest.java,1,1,1,1,5,0,5,0,,,,,2,0,1,9,,9,9,5,9,,0,0,0,9,,97,10,,,,63,25,32,,,24,,,,,,,,,,39,50,23,,,27,,,,,,,,1,1,1,1,,,0,,,,0,38,9,9,9,9
File,"AntTest.java",AntTest.java,1,1,1,1,5,0,5,0,,,,,5,0,0,74,,74,74,14,74,,8,1,2,63,,518,72,,,,423,143,233,,,23,,,,,,,,,,180,285,140,,,145,,,,,,,,10,10,10,1,,,7,,,,0,05,100,100,100,74
Public Class,"AntTimestamp",AntTimestamp.java,1,1,1,1,13,0,4,9,2,1,1,0,,0,0,,,,1,0,1,1,0,0,0,1,,21,2,,,,6,3,2,,,13,,,,,,,,,,2,4,3,,,1,,,,,,,,1,1,1,1,,1,0,,0,0,2,17,1,1,1,1
File,"AntTimestamp.java",AntTimestamp.java,1,1,1,1,13,0,4,9,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,45,5,,,,11,8,2,,,29,,,,,,,,,,7,9,8,,,1,,,,,,,,1,1,1,1,,,0,,,,2,64,1,1,1,1
Public Method,"AntTimestamp.when",AntTimestamp.java,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,0,,,,4,2,2,,,9,,,,,,,3,1,0,2,3,2,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,2,25,1,1,1,1
File,"AntTypeDefinition.java",AntTypeDefinition.java,2,2,3,1,14,0,8,6,,,,,1,0,0,22,,22,22,7,22,,0,3,0,19,,388,28,,,,202,54,125,,,158,,,,,,,,,,75,116,46,,,70,,,,,,,,7,7,10,7,,,2,,,,0,78,51,51,69,37
File,"AntVersion.java",AntVersion.java,2,2,2,1,12,0,8,4,,,,,1,0,0,10,,10,10,3,10,,0,2,0,8,,171,14,,,,96,24,55,,,61,,,,,,,,,,40,65,25,,,40,,,,,,,,6,6,8,3,,,2,,,,0,64,24,24,29,14
File,"AntVersionTest.java",AntVersionTest.java,1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,43,6,,,,16,7,4,,,21,,,,,,,,,,6,11,7,,,4,,,,,,,,1,1,1,1,,,0,,,,1,31,4,4,4,4
File,"AntXMLContext.java",AntXMLContext.java,1,1,1,1,8,0,4,4,,,,,1,0,0,31,,31,31,14,31,,0,0,0,31,,418,52,,,,169,67,71,,,198,,,,,,,,,,83,125,67,,,58,,,,,,,,3,3,3,1,,,2,,,,1,17,41,41,43,31
File,"Antlib.java",Antlib.java,2,2,2,1,19,0,13,5,,,,,1,1,1,6,,6,5,3,6,,0,1,2,3,,180,14,,,,103,41,58,,,63,,,,,,,,,,58,74,37,,,37,,,,,,,,6,6,6,3,,,3,,,,0,61,15,15,15,8
File,"AntlibDefinition.java",AntlibDefinition.java,1,1,1,1,10,0,4,6,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,81,8,,,,26,11,9,,,47,,,,,,,,,,12,19,11,,,8,,,,,,,,3,3,3,1,,,1,,,,1,81,6,6,6,4
File,"AntlibTest.java",AntlibTest.java,1,1,1,1,4,0,3,0,,,,,3,0,0,11,,11,11,0,11,,0,1,0,10,,94,16,,,,50,19,15,,,28,,,,,,,,,,16,33,19,,,14,,,,,,,,2,2,2,1,,,1,,,,0,56,14,14,15,11
File,"ApacheCatalog.java",ApacheCatalog.java,2,2,2,1,24,3,10,10,,,,,1,0,0,3,,3,3,1,3,,0,0,1,2,,121,18,,,,38,15,23,,,66,,,,,,,,,,19,27,15,,,12,,,,,,,,5,5,5,1,,,2,,,,1,74,7,7,7,3
File,"ApacheCatalogResolver.java",ApacheCatalogResolver.java,1,1,1,1,20,1,9,9,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,177,26,,,,55,25,27,,,97,,,,,,,,,,32,39,20,,,19,,,,,,,,4,4,4,1,,,1,,,,1,76,7,7,7,4
File,"Appendable.java",Appendable.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,35,3,,,,6,5,0,,,26,,,,,,,,,,4,5,5,,,0,,,,,,,,0,0,0,0,,,0,,,,4,33,0,0,0,0
File,"Apt.java",Apt.java,1,1,1,1,8,0,3,4,,,,,2,0,4,22,,22,22,7,22,,0,0,0,22,,267,29,,,,105,51,36,,,133,,,,,,,,,,47,73,46,,,27,,,,,,,,2,2,2,1,,,1,,,,1,27,25,25,25,22
File,"AptCompilerAdapter.java",AptCompilerAdapter.java,3,3,3,1,24,1,15,8,,,,,1,1,3,4,,4,3,0,4,,1,0,2,1,,189,17,,,,75,33,47,,,97,,,,,,,,,,45,57,31,,,26,,,,,,,,7,7,7,3,,,2,,,,1,29,12,12,12,6
Public Class,"AptExample",AptExample.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,4,0,,,,2,1,0,,,2,,,,,,,,,,0,1,1,,,0,,,,,,,,0,0,0,0,,1,0,,0,0,1,00,0,0,0,0
File,"AptExample.java",AptExample.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,25,0,,,,6,5,0,,,19,,,,,,,,,,0,1,1,,,0,,,,,,,,0,0,0,0,,,0,,,,3,17,0,0,0,0
