Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLine_Javascript,CountLine_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",Bootstrap.java,3,3,3,1,26,3,18,4,,,,,3,13,3,,3,,0,0,13,,2,8,0,3,,408,64,,,,262,71,187,,,83,,,,,,,,,,165,211,76,,,135,,,,,,,,6,6,6,1,,,3,,,,0,32,43,43,44,13
File,"ACSBeanDescriptor.java",ACSBeanDescriptor.java,1,1,1,1,7,0,7,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,73,2,,,,12,5,5,,,59,,,,,,,,,,6,8,5,,,3,,,,,,,,1,1,1,1,,,0,,,,4,92,1,1,1,1
File,"ACSDefaultElement.java",ACSDefaultElement.java,1,1,1,1,7,1,2,4,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,73,4,,,,6,4,0,,,63,,,,,,,,,,2,4,4,,,0,,,,,,,,1,1,1,1,,,0,,,,10,50,1,1,1,1
File,"ACSElement.java",ACSElement.java,1,1,1,1,10,0,4,5,,,,,1,0,1,7,,7,7,1,7,,0,0,2,5,,153,12,,,,43,16,16,,,98,,,,,,,,,,16,28,15,,,13,,,,,,,,2,2,3,1,,,1,,,,2,28,11,11,12,7
File,"ACSFactory.java",ACSFactory.java,1,1,1,1,0,0,0,0,,,,,1,0,2,2,,2,2,0,2,,2,0,0,0,,112,6,,,,35,21,12,,,71,,,,,,,,,,23,22,18,,,4,,,,,,,,1,1,1,1,,,0,,,,2,03,2,2,2,2
File,"ACSNamedElement.java",ACSNamedElement.java,1,1,1,1,8,0,3,4,,,,,1,0,2,6,,6,6,0,6,,0,0,0,6,,128,10,,,,28,14,11,,,90,,,,,,,,,,14,21,14,,,7,,,,,,,,1,1,1,1,,,0,,,,3,21,6,6,6,6
File,"ACSProjectElement.java",ACSProjectElement.java,1,1,1,1,9,0,4,5,,,,,1,0,3,9,,9,9,1,9,,0,0,0,9,,167,11,,,,47,21,21,,,109,,,,,,,,,,23,34,21,,,13,,,,,,,,2,2,2,1,,,1,,,,2,32,10,10,10,9
File,"ACSProjectElementBeanInfo.java",ACSProjectElementBeanInfo.java,1,1,1,1,12,0,8,3,,,,,2,0,0,5,,5,5,0,5,,0,0,0,5,,136,10,,,,47,11,28,,,79,,,,,,,,,,16,24,11,,,13,,,,,,,,2,2,2,1,,,1,,,,1,68,6,6,6,5
File,"ACSPropertyElement.java",ACSPropertyElement.java,1,1,1,1,9,0,4,4,,,,,1,0,3,8,,8,8,0,8,,0,0,0,8,,154,11,,,,42,18,20,,,101,,,,,,,,,,20,30,18,,,12,,,,,,,,2,2,3,1,,,1,,,,2,40,9,9,10,8
File,"ACSPropertyElementBeanInfo.java",ACSPropertyElementBeanInfo.java,1,1,1,1,11,0,7,3,,,,,2,0,0,5,,5,5,0,5,,0,0,0,5,,132,10,,,,43,11,24,,,79,,,,,,,,,,15,23,11,,,12,,,,,,,,2,2,2,1,,,1,,,,1,84,6,6,6,5
File,"ACSTargetElement.java",ACSTargetElement.java,1,1,1,1,10,0,5,4,,,,,1,0,3,7,,7,7,0,7,,0,0,0,7,,155,12,,,,47,21,25,,,96,,,,,,,,,,29,40,23,,,17,,,,,,,,3,3,4,1,,,2,,,,2,04,10,10,11,7
File,"ACSTargetElementBeanInfo.java",ACSTargetElementBeanInfo.java,1,1,1,1,14,0,9,4,,,,,2,0,0,5,,5,5,0,5,,0,0,0,5,,147,11,,,,56,11,37,,,80,,,,,,,,,,18,26,11,,,15,,,,,,,,2,2,2,1,,,1,,,,1,43,6,6,6,5
File,"ACSTaskElement.java",ACSTaskElement.java,1,1,1,1,9,0,3,5,,,,,1,0,2,7,,7,7,1,7,,2,0,0,5,,153,15,,,,39,21,16,,,99,,,,,,,,,,23,25,18,,,7,,,,,,,,2,2,2,1,,,1,,,,2,54,8,8,8,7
File,"ACSTaskElementBeanInfo.java",ACSTaskElementBeanInfo.java,1,1,1,1,12,0,7,3,,,,,2,0,0,5,,5,5,0,5,,0,0,0,5,,134,10,,,,45,11,26,,,79,,,,,,,,,,15,23,11,,,12,,,,,,,,2,2,2,1,,,1,,,,1,76,6,6,6,5
File,"ACSTreeNodeElement.java",ACSTreeNodeElement.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,71,4,,,,8,7,0,,,59,,,,,,,,,,6,7,7,,,0,,,,,,,,0,0,0,0,,,0,,,,7,38,0,0,0,0
File,"ANTLR.java",ANTLR.java,2,2,2,1,10,0,9,0,,,,,1,0,0,9,,9,9,5,9,,0,3,0,6,,173,16,,,,96,28,54,,,61,,,,,,,,,,47,69,27,,,42,,,,,,,,5,5,8,4,,,3,,,,0,64,21,21,25,12
File,"ANTLRTest.java",ANTLRTest.java,1,1,1,1,3,0,3,0,,,,,2,0,1,10,,10,10,0,10,,0,0,0,10,,110,13,,,,41,18,14,,,56,,,,,,,,,,17,29,18,,,11,,,,,,,,1,1,1,1,,,0,,,,1,37,10,10,10,10
File,"About.java",About.java,1,1,1,1,31,5,21,5,,,,,2,0,0,2,,2,2,0,2,,0,0,0,2,,142,16,,,,56,25,36,,,70,,,,,,,,,,39,44,22,,,22,,,,,,,,2,2,2,1,,,1,,,,1,25,3,3,3,2
File,"AboutCmd.java",AboutCmd.java,1,1,1,1,7,0,3,4,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,84,4,,,,13,8,2,,,67,,,,,,,,,,7,10,8,,,2,,,,,,,,1,1,1,1,,,0,,,,5,15,2,2,2,2
File,"AbstractCommand.java",AbstractCommand.java,1,1,1,1,7,0,3,4,,,,,1,0,0,2,,3,3,1,3,,0,0,2,1,,91,6,,,,12,7,3,,,73,,,,,,,,,,6,9,7,,,2,,,,,,,,1,1,1,1,,,0,,,,6,08,2,2,2,2
File,"AbstractConverter.java",AbstractConverter.java,2,2,2,1,18,1,10,7,,,,,1,0,0,2,,3,3,2,3,,0,0,1,2,,73,8,,,,30,11,9,,,35,,,,,,,,,,10,15,8,,,7,,,,,,,,3,3,3,1,,,1,,,,1,17,4,4,4,2
File,"AbstractPropertyEditor.java",AbstractPropertyEditor.java,1,1,1,1,10,0,3,7,,,,,2,0,1,13,,14,14,3,14,,0,0,2,12,,246,19,,,,61,31,20,,,166,,,,,,,,,,28,44,31,,,13,,,,,,,,2,2,5,1,,,1,,,,2,72,15,15,18,13
File,"AbstractResourceRegisterer.java",AbstractResourceRegisterer.java,1,1,2,1,9,0,9,0,,,,,1,0,0,6,,7,7,4,7,,0,0,2,5,,101,11,,,,78,30,22,,,12,,,,,,,,,,29,41,25,,,16,,,,,,,,4,4,5,3,,,2,,,,0,15,11,11,12,8
File,"AbstractTask.java",AbstractTask.java,4,4,4,1,23,0,18,5,,,,,1,0,0,2,,3,3,1,3,,0,0,0,3,,85,10,,,,45,20,24,,,30,,,,,,,,,,25,35,21,,,14,,,,,,,,8,8,8,1,,,6,,,,0,67,9,9,9,2
File,"AbstractTasklet.java",AbstractTasklet.java,1,1,1,1,13,0,7,6,,,,,1,0,0,3,,3,3,2,3,,0,0,1,2,,72,7,,,,34,15,8,,,31,,,,,,,,,,11,17,12,,,5,,,,,,,,3,3,3,1,,,2,,,,0,91,5,5,5,3
File,"AbstractWizardStep.java",AbstractWizardStep.java,1,1,1,1,9,0,3,5,,,,,1,0,0,14,,15,15,6,15,,0,0,2,13,,230,21,,,,65,27,29,,,144,,,,,,,,,,30,46,26,,,20,,,,,,,,2,2,2,1,,,1,,,,2,22,15,15,15,14
File,"ActionManager.java",ActionManager.java,3,3,3,1,25,2,14,8,,,,,3,0,1,9,,9,9,6,9,,0,1,0,8,,337,40,,,,152,52,97,,,145,,,,,,,,,,86,117,54,,,63,,,,,,,,9,9,10,1,,,3,,,,0,95,28,28,29,9
File,"AggregateTransformer.java",AggregateTransformer.java,1,1,1,1,10,0,7,3,,,,,2,1,10,30,,30,29,7,30,,2,2,18,8,,529,63,,,,273,119,151,,,197,,,,,,,,,,160,216,122,,,94,,,,,,,,6,6,7,1,,,2,,,,0,72,53,53,54,30
File,"Ant.java",Ant.java,3,3,3,1,16,1,13,0,,,,,1,0,0,9,,9,9,6,9,,0,2,0,7,,246,30,,,,137,40,93,,,79,,,,,,,,,,77,107,42,,,65,,,,,,,,9,9,11,1,,,3,,,,0,58,28,28,30,9
File,"AntAction.java",AntAction.java,1,1,1,1,13,0,6,5,,,,,1,0,8,15,,15,15,6,15,,0,2,0,13,,316,35,,,,125,48,74,,,156,,,,,,,,,,66,92,48,,,44,,,,,,,,7,7,7,1,,,2,,,,1,25,25,25,25,15
File,"AntBuildEvent.java",AntBuildEvent.java,1,1,2,1,12,1,6,5,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,129,11,,,,37,16,16,,,81,,,,,,,,,,20,28,15,,,13,,,,,,,,3,3,3,1,,,1,,,,2,19,7,7,8,4
File,"AntCall.java",AntCall.java,1,1,1,1,9,0,8,0,,,,,1,0,0,5,,5,5,6,5,,0,0,0,5,,87,9,,,,66,32,22,,,12,,,,,,,,,,38,46,28,,,18,,,,,,,,3,3,3,1,,,1,,,,0,18,7,7,7,5
File,"AntClassLoader.java",AntClassLoader.java,3,3,3,1,25,1,14,9,,,,,1,0,3,15,,15,15,8,15,,0,5,1,9,,520,53,,,,236,63,145,,,231,,,,,,,,,,113,160,65,,,95,,,,,,,,11,11,11,6,,,5,,,,0,98,47,47,49,27
File,"AntClassLoader.java",AntClassLoader.java,1,1,1,1,10,0,5,5,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,56,4,,,,25,11,4,,,27,,,,,,,,,,11,16,11,,,5,,,,,,,,2,2,2,1,,,1,,,,1,08,4,4,4,3
File,"AntContextResources.java",AntContextResources.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,6,0,,0,0,0,0,,34,6,,,,10,8,6,,,18,,,,,,,,,,7,8,8,,,0,,,,,,,,0,0,0,0,,,0,,,,1,80,0,0,0,0
File,"AntEngine.java",AntEngine.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,48,4,,,,14,12,0,,,30,,,,,,,,,,10,11,11,,,0,,,,,,,,0,0,0,0,,,0,,,,2,14,0,0,0,0
File,"AntEngineListener.java",AntEngineListener.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,7,7,0,7,,7,0,0,0,,72,6,,,,13,12,0,,,53,,,,,,,,,,11,12,12,,,0,,,,,,,,0,0,0,0,,,0,,,,4,08,0,0,0,0
File,"AntEvent.java",AntEvent.java,1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,80,8,,,,19,9,5,,,53,,,,,,,,,,9,14,9,,,5,,,,,,,,1,1,1,1,,,0,,,,2,79,4,4,4,4
File,"AntEvent.java",AntEvent.java,1,1,1,1,8,0,3,5,,,,,1,0,0,3,,3,3,1,3,,0,0,2,1,,99,6,,,,17,10,4,,,76,,,,,,,,,,9,13,10,,,3,,,,,,,,1,1,1,1,,,0,,,,4,47,3,3,3,3
File,"AntException.java",AntException.java,1,1,1,1,9,0,4,5,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,45,4,,,,14,6,2,,,27,,,,,,,,,,4,7,5,,,2,,,,,,,,1,1,1,1,,,0,,,,1,93,2,2,2,2
File,"AntException.java",AntException.java,1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,65,3,,,,9,4,2,,,53,,,,,,,,,,3,6,4,,,2,,,,,,,,1,1,1,1,,,0,,,,5,89,2,2,2,2
