Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLine_Javascript,CountLine_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AllJUnitTests.java",AllJUnitTests.java,1,1,1,1,4,0,4,0,,,,,1,1,0,2,,2,1,0,2,,0,0,0,2,,78,5,,,,15,8,5,,,58,,,,,,,,,,9,12,8,,,4,,,,,,,,1,1,1,1,,,0,,,,3,87,2,2,2,2
File,"Ant.java",Ant.java,2,2,2,1,11,1,9,0,,,,,1,0,0,7,,7,7,6,7,,0,0,0,7,,179,22,,,,78,31,49,,,79,,,,,,,,,,48,65,32,,,33,,,,,,,,6,6,6,1,,,2,,,,1,01,16,16,16,7
File,"AntStructure.java",AntStructure.java,2,2,2,1,21,3,14,4,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,126,17,,,,42,19,23,,,67,,,,,,,,,,26,30,16,,,14,,,,,,,,4,4,4,1,,,2,,,,1,60,5,5,5,2
File,"Available.java",Available.java,1,1,1,1,5,0,5,0,,,,,1,0,0,9,,9,9,4,9,,0,3,0,6,,128,15,,,,55,19,25,,,58,,,,,,,,,,27,42,19,,,23,,,,,,,,4,4,7,4,,,1,,,,1,05,14,14,17,12
File,"BuildEvent.java",BuildEvent.java,1,1,1,1,8,0,3,4,,,,,1,0,0,11,,11,11,6,11,,0,0,0,11,,166,16,,,,53,20,22,,,97,,,,,,,,,,29,41,20,,,21,,,,,,,,1,1,1,1,,,0,,,,1,83,11,11,11,11
File,"BuildException.java",BuildException.java,1,1,1,1,7,0,3,4,,,,,1,0,0,10,,10,10,2,10,,0,0,0,10,,162,21,,,,39,14,15,,,102,,,,,,,,,,17,28,14,,,14,,,,,,,,1,1,1,1,,,0,,,,2,62,10,10,10,10
File,"BuildListener.java",BuildListener.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,7,7,0,7,,0,0,0,7,,119,11,,,,11,10,0,,,97,,,,,,,,,,9,10,10,,,0,,,,,,,,0,0,0,0,,,0,,,,8,82,0,0,0,0
File,"Chmod.java",Chmod.java,2,2,2,1,7,0,6,0,,,,,1,0,0,6,,6,6,3,6,,0,1,0,5,,125,16,,,,48,16,23,,,63,,,,,,,,,,22,35,17,,,18,,,,,,,,7,7,11,1,,,4,,,,1,31,12,12,16,6
File,"CompileTask.java",CompileTask.java,1,1,1,1,12,1,7,4,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,112,13,,,,27,13,14,,,72,,,,,,,,,,19,23,15,,,8,,,,,,,,3,3,3,1,,,1,,,,2,67,5,5,5,3
File,"Copydir.java",Copydir.java,1,1,1,1,8,0,8,0,,,,,1,0,0,5,,5,5,5,5,,0,0,0,5,,126,15,,,,53,21,30,,,58,,,,,,,,,,25,33,19,,,14,,,,,,,,5,5,5,1,,,2,,,,1,09,9,9,9,5
File,"Copyfile.java",Copyfile.java,1,1,1,1,5,0,5,0,,,,,1,0,0,4,,4,4,3,4,,0,0,0,4,,97,10,,,,29,14,11,,,58,,,,,,,,,,13,20,13,,,7,,,,,,,,3,3,3,1,,,2,,,,2,00,6,6,6,4
File,"Cvs.java",Cvs.java,2,2,2,1,7,1,5,0,,,,,1,0,0,9,,9,9,7,9,,0,0,0,9,,154,26,,,,64,21,33,,,64,,,,,,,,,,29,48,21,,,27,,,,,,,,7,7,7,1,,,2,,,,1,00,20,20,21,9
File,"DDCreator.java",DDCreator.java,2,2,2,1,17,1,8,7,,,,,1,0,0,4,,4,4,3,4,,0,0,0,4,,162,14,,,,44,18,23,,,104,,,,,,,,,,26,35,19,,,16,,,,,,,,5,5,5,1,,,1,,,,2,36,8,8,8,4
File,"DDCreatorHelper.java",DDCreatorHelper.java,2,2,3,1,21,1,14,6,,,,,1,1,0,3,,3,2,3,3,,0,2,0,1,,149,10,,,,50,23,30,,,89,,,,,,,,,,27,36,20,,,16,,,,,,,,5,5,6,1,,,3,,,,1,78,8,8,9,3
File,"DefaultLogger.java",DefaultLogger.java,1,1,1,1,9,1,6,1,,,,,1,1,1,9,,9,8,3,9,,0,1,0,8,,162,25,,,,67,22,34,,,70,,,,,,,,,,29,47,23,,,24,,,,,,,,4,4,4,1,,,3,,,,1,04,17,17,17,9
File,"Delete.java",Delete.java,4,4,4,1,20,2,12,5,,,,,1,0,0,4,,4,4,3,4,,0,0,0,4,,156,17,,,,58,14,33,,,81,,,,,,,,,,24,41,15,,,26,,,,,,,,12,12,13,1,,,4,,,,1,40,16,16,18,4
File,"Deltree.java",Deltree.java,3,3,3,1,16,1,12,3,,,,,1,0,0,3,,3,3,1,3,,0,1,0,2,,122,12,,,,43,12,23,,,67,,,,,,,,,,19,31,13,,,18,,,,,,,,5,5,5,3,,,3,,,,1,56,11,11,11,5
File,"DesirableFilter.java",DesirableFilter.java,6,6,8,6,40,7,18,15,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,118,20,,,,24,6,11,,,74,,,,,,,,,,10,17,6,,,11,,,,,,,,6,6,8,6,,,1,,,,3,08,6,6,8,6
File,"DirectoryScanner.java",DirectoryScanner.java,5,5,5,3,29,1,19,9,,,,,1,2,1,19,,19,17,9,19,,0,5,0,14,,827,97,,,,393,85,253,,,343,,,,,,,,,,223,326,105,,,221,,,,,,,,28,28,35,28,,,4,,,,0,87,103,103,113,74
File,"Echo.java",Echo.java,1,1,1,1,8,0,3,5,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,85,4,,,,13,8,2,,,69,,,,,,,,,,7,10,8,,,2,,,,,,,,1,1,1,1,,,0,,,,5,31,2,2,2,2
File,"EjbJar.java",EjbJar.java,2,2,2,1,27,2,15,9,,,,,2,0,8,16,,16,16,9,16,,0,0,1,15,,645,84,,,,290,110,198,,,274,,,,,,,,,,161,199,99,,,100,,,,,,,,16,16,17,1,,,4,,,,0,94,41,41,45,16
File,"Ejbc.java",Ejbc.java,1,1,1,1,15,0,8,6,,,,,1,0,0,6,,6,6,5,6,,0,0,0,6,,200,21,,,,61,23,33,,,118,,,,,,,,,,35,47,23,,,24,,,,,,,,6,6,6,1,,,1,,,,1,93,11,11,11,6
File,"EjbcHelper.java",EjbcHelper.java,3,3,4,1,33,2,21,9,,,,,1,1,0,5,,5,4,6,5,,0,4,0,1,,278,27,,,,125,52,78,,,126,,,,,,,,,,72,90,46,,,44,,,,,,,,10,10,15,5,,,2,,,,1,01,18,18,23,9
File,"EnumeratedAttribute.java",EnumeratedAttribute.java,2,2,2,1,8,0,5,2,,,,,1,0,0,4,,5,5,1,5,,0,0,0,5,,112,9,,,,27,9,11,,,76,,,,,,,,,,12,21,10,,,11,,,,,,,,4,4,5,4,,,2,,,,2,81,8,8,9,7
File,"EnumeratedAttributeTest.java",EnumeratedAttributeTest.java,2,2,2,1,8,0,8,0,,,,,3,0,1,5,,5,5,0,5,,0,0,0,5,,122,10,,,,54,14,30,,,58,,,,,,,,,,24,35,16,,,19,,,,,,,,6,6,6,1,,,2,,,,1,07,11,11,11,5
File,"Exec.java",Exec.java,2,2,2,1,11,1,9,0,,,,,2,0,1,12,,12,12,11,12,,0,0,3,9,,240,33,,,,136,44,81,,,72,,,,,,,,,,68,99,40,,,59,,,,,,,,13,13,14,1,,,4,,,,0,53,31,31,32,12
File,"Expand.java",Expand.java,4,4,4,1,28,3,19,6,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,159,16,,,,65,20,42,,,80,,,,,,,,,,34,47,20,,,27,,,,,,,,10,10,10,1,,,5,,,,1,23,12,12,12,3
File,"Filter.java",Filter.java,1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,81,7,,,,15,8,3,,,59,,,,,,,,,,7,11,8,,,3,,,,,,,,1,1,1,1,,,0,,,,3,93,3,3,3,3
File,"FixCRLF.java",FixCRLF.java,6,6,7,1,29,2,19,9,,,,,2,0,0,9,,9,9,6,9,,0,0,0,9,,384,37,,,,188,44,135,,,171,,,,,,,,,,104,153,47,,,106,,,,,,,,42,39,47,1,,,5,,,,0,91,58,55,64,9
File,"GUnzip.java",GUnzip.java,5,5,5,1,22,2,20,0,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,143,15,,,,68,17,44,,,60,,,,,,,,,,30,46,17,,,29,,,,,,,,14,14,15,1,,,3,,,,0,88,16,16,17,3
File,"GZip.java",GZip.java,2,2,2,1,10,0,9,0,,,,,1,0,0,5,,5,5,2,5,,0,2,0,3,,130,13,,,,56,19,29,,,61,,,,,,,,,,24,35,17,,,18,,,,,,,,5,5,5,1,,,2,,,,1,09,10,10,10,5
File,"Get.java",Get.java,3,3,3,2,16,1,10,5,,,,,1,0,0,5,,5,5,4,5,,0,0,0,5,,157,12,,,,62,20,37,,,85,,,,,,,,,,37,53,21,,,32,,,,,,,,11,11,11,7,,,3,,,,1,37,15,15,15,11
File,"IntrospectionHelper.java",IntrospectionHelper.java,2,2,3,1,17,1,14,1,,,,,18,1,1,27,,29,28,6,29,,0,3,0,26,,510,61,,,,320,72,230,,,129,,,,,,,,,,116,182,71,,,111,,,,,,,,14,14,29,14,,,2,,,,0,40,67,67,89,45
