Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariableInternal,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariableProtectedInternal,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodInternal,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodProtectedInternal,CountDeclMethodPublic,CountDeclProperty,CountDeclPropertyAuto,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLineInactive,CountLine_Javascript,CountLine_Php,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",Task1.java,1,1,1,1,6,0,4,3,,,,,51,21,1,,45,,21,27,,,,,,42,,2,,0,0,,40,,,,953,111,,,,349,177,89,,,565,,,,,,,,,,,,120,231,169,,,62,,,,,,,,3,3,3,1,,,1,,,,1,62,60,60,60,39
Public Class,"A",A.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,,,,,,0,0,0,,0,0,,0,,,,6,0,,,,6,3,0,,,0,,,,,,,,,,,,0,3,3,,,0,,,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Public Class,"A",A.java,0,0,0,0,0,0,0,0,1,1,1,0,,0,0,,,,0,1,,,,,,0,0,0,,0,0,,0,,,,3,0,,,,3,2,1,,,0,,,,,,,,,,,,1,2,2,,,0,,,,,,,,0,0,0,0,,3,0,,0,0,0,00,0,0,0,0
Public Class,"A",A.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,,,,,,0,0,0,,0,0,,0,,,,4,0,,,,4,2,0,,,0,,,,,,,,,,,,0,2,2,,,0,,,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Public Class,"A",A.java,0,0,0,0,0,0,0,0,1,1,1,0,,0,0,,,,0,1,,,,,,0,0,0,,0,0,,0,,,,3,0,,,,3,2,1,,,0,,,,,,,,,,,,1,2,2,,,0,,,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Private Static Class,"A.Inner",A.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,,,,,,0,0,0,,0,0,,0,,,,4,0,,,,4,2,0,,,0,,,,,,,,,,,,0,2,2,,,0,,,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Private Static Class,"A.Inner",A.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,,,,,,0,0,0,,0,0,,0,,,,2,0,,,,2,1,0,,,0,,,,,,,,,,,,0,1,1,,,0,,,,,,,,0,0,0,0,,3,0,,0,0,0,00,0,0,0,0
Private Static Class,"A.Inner.Inner2",A.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,,,,,,0,0,0,,0,0,,0,,,,2,0,,,,2,1,0,,,0,,,,,,,,,,,,0,1,1,,,0,,,,,,,,0,0,0,0,,3,0,,0,0,0,00,0,0,0,0
File,"A.java",A.java,1,1,1,1,3,0,3,0,,,,,1,2,1,3,,3,1,0,,,,,,3,,0,,0,1,,2,,,,40,6,,,,17,7,6,,,17,,,,,,,,,,,,7,11,6,,,5,,,,,,,,1,1,1,1,,,0,,,,1,00,3,3,3,3
File,"A.java",A.java,0,0,0,0,0,0,0,0,,,,,3,0,0,0,,0,0,0,,,,,,0,,0,,0,0,,0,,,,23,3,,,,6,3,0,,,14,,,,,,,,,,,,0,3,3,,,0,,,,,,,,0,0,0,0,,,0,,,,2,33,0,0,0,0
File,"A.java",A.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,1,,,,,,0,,0,,0,0,,0,,,,20,3,,,,3,2,1,,,14,,,,,,,,,,,,1,2,2,,,0,,,,,,,,0,0,0,0,,,0,,,,4,67,0,0,0,0
File,"A.java",A.java,0,0,0,0,0,0,0,0,,,,,2,0,0,0,,0,0,0,,,,,,0,,0,,0,0,,0,,,,21,3,,,,4,2,0,,,14,,,,,,,,,,,,0,2,2,,,0,,,,,,,,0,0,0,0,,,0,,,,3,50,0,0,0,0
File,"A.java",A.java,0,0,0,0,0,0,0,0,,,,,2,0,0,0,,0,0,1,,,,,,0,,0,,0,0,,0,,,,22,3,,,,5,3,1,,,14,,,,,,,,,,,,1,3,3,,,0,,,,,,,,0,0,0,0,,,0,,,,2,80,0,0,0,0
File,"ANTLR.java",ANTLR.java,2,2,2,1,13,0,8,4,,,,,1,0,1,24,,24,24,13,,,,,,24,,0,,4,2,,18,,,,437,44,,,,248,78,137,,,145,,,,,,,,,,,,116,168,74,,,94,,,,,,,,10,10,10,4,,,3,,,,0,58,52,52,56,27
File,"ANTLRTest.java",ANTLRTest.java,1,1,1,1,4,0,3,1,,,,,3,0,1,21,,21,21,0,,,,,,21,,0,,0,0,,21,,,,165,25,,,,85,30,34,,,55,,,,,,,,,,,,37,61,30,,,31,,,,,,,,1,1,1,1,,,0,,,,0,65,21,21,21,21
Class,"APrivate",A.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,,,,,,0,0,0,,0,0,,0,,,,2,0,,,,2,1,0,,,0,,,,,,,,,,,,0,1,1,,,0,,,,,,,,0,0,0,0,,3,0,,0,0,0,00,0,0,0,0
File,"AbstractAccessTask.java",AbstractAccessTask.java,1,1,1,1,9,0,4,5,,,,,1,0,0,6,,6,6,0,,,,,,6,,0,,0,1,,5,,,,109,12,,,,35,15,14,,,62,,,,,,,,,,,,15,22,14,,,8,,,,,,,,1,1,2,1,,,0,,,,1,77,6,6,7,6
File,"AbstractAnalyzer.java",AbstractAnalyzer.java,1,1,1,1,14,0,6,7,,,,,1,0,1,14,,16,16,7,,,,,,16,,0,,1,5,,10,,,,284,26,,,,113,38,57,,,145,,,,,,,,,,,,53,82,38,,,44,,,,,,,,7,7,7,6,,,4,,,,1,28,27,27,27,19
File,"AbstractCvsTask.java",AbstractCvsTask.java,2,2,2,1,14,1,8,5,,,,,1,0,3,43,,43,43,21,,,,,,43,,0,,2,8,,33,,,,832,109,,,,386,108,226,,,337,,,,,,,,,,,,176,267,108,,,159,,,,,,,,18,18,20,1,,,3,,,,0,87,92,92,101,43
File,"AbstractCvsTaskTest.java",AbstractCvsTaskTest.java,1,1,1,1,3,0,3,0,,,,,1,0,0,7,,7,7,0,,,,,,7,,0,,0,0,,7,,,,61,10,,,,32,13,13,,,19,,,,,,,,,,,,16,24,13,,,11,,,,,,,,1,1,1,1,,,0,,,,0,59,7,7,7,7
File,"AbstractFileSet.java",AbstractFileSet.java,1,1,2,1,11,0,6,5,,,,,1,0,0,60,,60,60,9,,,,,,60,,0,,0,2,,58,,,,828,72,,,,420,114,222,,,336,,,,,,,,,,,,199,305,117,,,188,,,,,,,,7,7,10,5,,,3,,,,0,80,113,113,121,66
File,"AbstractFileSetTest.java",AbstractFileSetTest.java,4,4,4,1,40,1,38,1,,,,,1,0,0,5,,6,6,1,,,,,,6,,0,,0,2,,4,,,,245,18,,,,201,19,165,,,29,,,,,,,,,,,,93,116,19,,,97,,,,,,,,14,14,14,1,,,1,,,,0,14,22,22,22,5
File,"AbstractHotDeploymentTool.java",AbstractHotDeploymentTool.java,1,1,1,1,8,0,3,4,,,,,1,0,0,12,,14,14,5,,,,,,14,,0,,0,2,,12,,,,193,23,,,,59,23,19,,,111,,,,,,,,,,,,25,42,23,,,19,,,,,,,,4,4,4,1,,,1,,,,1,88,16,16,16,12
File,"AbstractJarSignerTask.java",AbstractJarSignerTask.java,1,1,1,1,10,0,5,5,,,,,1,0,2,23,,23,23,12,,,,,,23,,0,,1,10,,12,,,,379,37,,,,154,64,73,,,188,,,,,,,,,,,,81,116,62,,,54,,,,,,,,4,4,4,1,,,2,,,,1,22,35,35,36,23
File,"AbstractScriptComponent.java",AbstractScriptComponent.java,1,1,1,1,8,0,3,4,,,,,1,0,0,12,,12,12,2,,,,,,12,,0,,0,3,,9,,,,152,15,,,,54,23,19,,,83,,,,,,,,,,,,26,40,23,,,17,,,,,,,,2,2,2,1,,,1,,,,1,54,13,13,13,12
File,"AbstractSelectorContainer.java",AbstractSelectorContainer.java,1,1,1,1,8,0,3,4,,,,,1,0,0,26,,26,26,1,,,,,,26,,0,,0,0,,26,,,,288,35,,,,106,40,40,,,147,,,,,,,,,,,,41,73,39,,,34,,,,,,,,4,4,4,1,,,3,,,,1,39,31,31,31,26
File,"AbstractSshMessage.java",AbstractSshMessage.java,1,1,1,1,11,0,6,4,,,,,3,0,1,17,,18,18,7,,,,,,18,,0,,0,9,,9,,,,272,34,,,,142,54,76,,,96,,,,,,,,,,,,66,97,49,,,48,,,,,,,,7,7,7,1,,,4,,,,0,68,29,29,30,17
File,"AbstractXSLTLiaisonTest.java",AbstractXSLTLiaisonTest.java,1,1,1,1,8,0,7,0,,,,,1,0,1,6,,7,7,1,,,,,,7,,0,,0,4,,3,,,,100,12,,,,62,30,33,,,28,,,,,,,,,,,,40,50,30,,,20,,,,,,,,2,2,2,1,,,1,,,,0,45,7,7,7,6
File,"AddTypeTest.java",AddTypeTest.java,1,1,1,1,3,0,3,0,,,,,14,0,0,31,,31,31,4,,,,,,31,,0,,0,0,,31,,,,186,27,,,,141,59,41,,,18,,,,,,,,,,,,44,89,55,,,34,,,,,,,,1,1,1,1,,,0,,,,0,13,31,31,31,31
File,"AggregateTransformer.java",AggregateTransformer.java,1,1,1,1,15,0,9,5,,,,,2,1,6,14,,14,13,6,,,,,,14,,0,,0,5,,9,,,,346,39,,,,180,80,101,,,127,,,,,,,,,,,,114,143,78,,,65,,,,,,,,5,5,5,1,,,2,,,,0,71,27,27,27,14
File,"Algorithm.java",Algorithm.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,,,,,,2,,2,,0,0,,0,,,,48,7,,,,6,5,0,,,35,,,,,,,,,,,,4,5,5,,,0,,,,,,,,0,0,0,0,,,0,,,,5,83,0,0,0,0
