Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLine_Javascript,CountLine_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Ant.java",Ant.java,3,3,3,1,16,1,13,0,,,,,1,0,0,9,,9,9,6,9,,0,2,0,7,,246,30,,,,137,40,93,,,79,,,,,,,,,,77,107,42,,,65,,,,,,,,9,9,11,1,,,3,,,,0,58,28,28,30,9
File,"AntClassLoader.java",AntClassLoader.java,3,3,3,1,25,1,13,10,,,,,1,0,1,13,,13,13,5,13,,0,4,1,8,,448,48,,,,187,50,114,,,213,,,,,,,,,,93,132,53,,,79,,,,,,,,10,10,10,6,,,5,,,,1,14,39,39,41,22
File,"AntStarTeamCheckOut.java",AntStarTeamCheckOut.java,2,2,3,2,26,1,13,11,,,,,1,1,6,41,,41,40,16,41,,0,1,9,31,,1411,124,,,,597,120,293,,,694,,,,,,,,,,242,363,134,,,229,,,,,,,,28,28,35,28,,,4,,,,1,16,120,120,135,86
File,"AntStructure.java",AntStructure.java,3,3,3,1,25,3,17,4,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,138,18,,,,53,25,29,,,67,,,,,,,,,,34,39,22,,,17,,,,,,,,5,5,5,1,,,2,,,,1,26,6,6,6,2
File,"AntStructureTest.java",AntStructureTest.java,1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,73,5,,,,12,5,3,,,56,,,,,,,,,,4,8,5,,,3,,,,,,,,1,1,1,1,,,0,,,,4,67,3,3,3,3
File,"AntTest.java",AntTest.java,1,1,1,1,3,0,3,0,,,,,1,0,0,8,,8,8,0,8,,0,0,0,8,,95,10,,,,27,10,8,,,58,,,,,,,,,,9,18,10,,,8,,,,,,,,1,1,1,1,,,0,,,,2,15,8,8,8,8
File,"Available.java",Available.java,2,2,2,1,6,0,6,0,,,,,1,0,0,12,,12,12,7,12,,0,3,0,9,,171,21,,,,90,26,43,,,60,,,,,,,,,,39,65,26,,,39,,,,,,,,7,7,12,4,,,3,,,,0,67,25,25,30,15
File,"AvailableTest.java",AvailableTest.java,1,1,1,1,3,0,3,0,,,,,1,0,0,16,,16,16,0,16,,0,0,0,16,,160,19,,,,63,18,28,,,78,,,,,,,,,,29,46,18,,,28,,,,,,,,1,1,1,1,,,0,,,,1,24,16,16,16,16
File,"BaseTest.java",BaseTest.java,1,1,1,1,3,0,3,0,,,,,1,0,0,9,,9,9,6,9,,0,0,0,9,,107,12,,,,37,18,15,,,58,,,,,,,,,,17,27,18,,,9,,,,,,,,1,1,1,1,,,0,,,,1,57,9,9,9,9
File,"BatchTest.java",BatchTest.java,2,2,2,1,7,0,7,0,,,,,2,0,0,7,,7,7,4,7,,0,1,0,6,,136,11,,,,66,26,35,,,59,,,,,,,,,,41,57,28,,,29,,,,,,,,5,5,5,1,,,3,,,,0,89,14,14,14,7
File,"BuildEvent.java",BuildEvent.java,1,1,1,1,8,0,3,4,,,,,1,0,0,11,,11,11,6,11,,0,0,0,11,,166,16,,,,53,20,22,,,97,,,,,,,,,,29,41,20,,,21,,,,,,,,1,1,1,1,,,0,,,,1,83,11,11,11,11
File,"BuildException.java",BuildException.java,1,1,1,1,7,0,3,4,,,,,1,0,0,11,,11,11,2,11,,0,0,0,11,,174,23,,,,43,15,17,,,108,,,,,,,,,,19,31,15,,,16,,,,,,,,1,1,1,1,,,0,,,,2,51,11,11,11,11
File,"BuildListener.java",BuildListener.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,7,7,0,7,,0,0,0,7,,119,11,,,,11,10,0,,,97,,,,,,,,,,9,10,10,,,0,,,,,,,,0,0,0,0,,,0,,,,8,82,0,0,0,0
File,"BuildLogger.java",BuildLogger.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,0,0,0,4,,100,7,,,,8,7,0,,,85,,,,,,,,,,6,7,7,,,0,,,,,,,,0,0,0,0,,,0,,,,10,62,0,0,0,0
File,"Cab.java",Cab.java,2,2,2,1,15,1,10,3,,,,,1,0,3,15,,15,15,7,15,,0,0,8,7,,344,48,,,,184,55,97,,,112,,,,,,,,,,95,130,56,,,74,,,,,,,,6,6,6,3,,,3,,,,0,61,34,34,35,17
File,"CallTarget.java",CallTarget.java,1,1,1,1,6,0,5,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,113,9,,,,29,9,14,,,75,,,,,,,,,,16,22,9,,,13,,,,,,,,2,2,2,1,,,1,,,,2,59,5,5,5,4
File,"Chmod.java",Chmod.java,1,1,1,1,6,0,4,2,,,,,1,0,0,14,,14,14,2,14,,0,0,2,12,,176,21,,,,66,23,29,,,89,,,,,,,,,,28,45,23,,,22,,,,,,,,3,3,4,1,,,1,,,,1,35,16,16,19,14
File,"ClassNameReader.java",ClassNameReader.java,8,2,8,1,34,4,28,2,,,,,2,1,12,2,,2,1,2,2,,1,0,0,1,,161,22,,,,70,24,52,,,69,,,,,,,,,,41,48,21,,,27,,,,,,,,14,3,14,1,,,2,,,,0,99,16,5,16,2
File,"Commandline.java",Commandline.java,2,2,2,1,10,0,7,2,,,,,2,3,0,21,,21,18,3,21,,0,0,0,21,,355,43,,,,175,50,105,,,137,,,,,,,,,,92,139,55,,,84,,,,,,,,13,12,15,4,,,4,,,,0,78,46,45,52,24
File,"CommandlineJava.java",CommandlineJava.java,1,1,1,1,5,0,5,0,,,,,2,0,0,26,,26,26,6,26,,0,0,0,26,,254,40,,,,151,48,80,,,63,,,,,,,,,,73,112,49,,,63,,,,,,,,4,4,6,1,,,2,,,,0,42,38,38,41,26
File,"CommandlineJavaTest.java",CommandlineJavaTest.java,1,1,1,1,11,0,11,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,110,11,,,,41,12,27,,,58,,,,,,,,,,30,33,12,,,21,,,,,,,,1,1,1,1,,,0,,,,1,41,3,3,3,3
File,"CommandlineTest.java",CommandlineTest.java,2,2,2,1,24,4,19,1,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,147,21,,,,64,10,48,,,62,,,,,,,,,,48,55,11,,,44,,,,,,,,4,4,4,1,,,1,,,,0,97,6,6,6,3
File,"CompileTask.java",CompileTask.java,1,1,1,1,13,1,7,4,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,117,13,,,,30,14,16,,,74,,,,,,,,,,22,26,16,,,10,,,,,,,,3,3,3,1,,,1,,,,2,47,5,5,5,3
File,"Copy.java",Copy.java,3,3,3,1,16,1,11,4,,,,,1,0,0,13,,13,13,11,13,,0,0,3,10,,324,39,,,,164,49,102,,,125,,,,,,,,,,75,116,51,,,65,,,,,,,,9,9,13,1,,,4,,,,0,76,40,40,49,13
File,"Copydir.java",Copydir.java,2,2,2,1,9,1,8,0,,,,,1,0,0,6,,6,6,6,6,,0,0,0,6,,144,19,,,,65,23,38,,,60,,,,,,,,,,30,41,21,,,20,,,,,,,,8,8,8,1,,,2,,,,0,92,13,13,13,6
File,"CopydirTest.java",CopydirTest.java,1,1,1,1,3,0,3,0,,,,,1,0,0,8,,8,8,0,8,,0,0,0,8,,99,11,,,,31,11,11,,,57,,,,,,,,,,11,21,11,,,10,,,,,,,,2,2,3,1,,,1,,,,1,84,9,9,10,8
File,"Copyfile.java",Copyfile.java,2,2,2,1,8,1,7,0,,,,,1,0,0,5,,5,5,4,5,,0,0,0,5,,123,16,,,,47,16,23,,,60,,,,,,,,,,20,32,15,,,17,,,,,,,,7,7,8,1,,,2,,,,1,28,11,11,12,5
File,"CopyfileTest.java",CopyfileTest.java,1,1,1,1,3,0,3,0,,,,,1,0,0,7,,7,7,0,7,,0,0,0,7,,100,9,,,,30,10,12,,,61,,,,,,,,,,11,20,10,,,10,,,,,,,,2,2,2,1,,,1,,,,2,03,8,8,8,7
File,"Cvs.java",Cvs.java,2,2,3,1,11,0,10,0,,,,,1,0,0,11,,11,11,9,11,,0,0,0,11,,253,37,,,,126,31,75,,,90,,,,,,,,,,55,86,30,,,56,,,,,,,,16,16,17,1,,,3,,,,0,71,30,30,33,11
File,"DDCreator.java",DDCreator.java,2,2,2,1,18,1,9,7,,,,,1,0,0,4,,4,4,3,4,,0,0,0,4,,167,14,,,,49,21,25,,,104,,,,,,,,,,29,38,22,,,16,,,,,,,,5,5,7,1,,,1,,,,2,12,8,8,10,4
File,"DDCreatorHelper.java",DDCreatorHelper.java,2,2,3,1,21,1,14,6,,,,,1,1,0,3,,3,2,3,3,,0,2,0,1,,149,10,,,,50,23,30,,,89,,,,,,,,,,27,36,20,,,16,,,,,,,,5,5,6,1,,,3,,,,1,78,8,8,9,3
File,"DataType.java",DataType.java,1,1,1,1,10,0,4,5,,,,,1,0,0,8,,8,8,3,8,,0,0,4,4,,187,14,,,,48,18,22,,,125,,,,,,,,,,22,34,17,,,17,,,,,,,,4,4,5,1,,,2,,,,2,60,11,11,12,8
File,"DefaultLogger.java",DefaultLogger.java,2,2,2,1,9,1,6,2,,,,,1,1,2,12,,12,11,5,12,,0,0,1,11,,206,32,,,,85,29,44,,,89,,,,,,,,,,35,57,30,,,27,,,,,,,,6,6,6,1,,,4,,,,1,05,25,25,25,12
File,"Delete.java",Delete.java,2,2,2,1,12,0,7,4,,,,,1,0,0,15,,15,15,5,15,,0,0,2,13,,289,26,,,,128,35,74,,,135,,,,,,,,,,64,97,38,,,59,,,,,,,,10,10,16,1,,,4,,,,1,05,32,32,38,15
File,"DeleteTest.java",DeleteTest.java,1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,86,8,,,,18,7,5,,,60,,,,,,,,,,6,12,7,,,5,,,,,,,,1,1,1,1,,,0,,,,3,33,5,5,5,5
File,"Deltree.java",Deltree.java,4,4,4,1,19,2,14,3,,,,,1,0,0,3,,3,3,1,3,,0,1,0,2,,133,15,,,,49,12,28,,,69,,,,,,,,,,21,34,13,,,21,,,,,,,,6,6,6,3,,,3,,,,1,41,12,12,12,5
File,"DeltreeTest.java",DeltreeTest.java,1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,79,7,,,,15,6,4,,,57,,,,,,,,,,5,10,6,,,4,,,,,,,,1,1,1,1,,,0,,,,3,80,4,4,4,4
File,"DescriptorHandler.java",DescriptorHandler.java,1,1,2,1,11,0,6,4,,,,,1,0,4,10,,10,10,6,10,,0,1,0,9,,239,31,,,,82,35,43,,,126,,,,,,,,,,40,57,32,,,25,,,,,,,,5,5,6,5,,,2,,,,1,54,17,17,21,14
File,"DesirableFilter.java",DesirableFilter.java,6,6,8,6,40,7,18,15,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,118,20,,,,24,6,11,,,74,,,,,,,,,,10,17,6,,,11,,,,,,,,6,6,8,6,,,1,,,,3,08,6,6,8,6
File,"DirectoryScanner.java",DirectoryScanner.java,5,5,6,3,31,1,20,9,,,,,1,3,1,22,,22,19,10,22,,0,0,8,14,,959,105,,,,475,99,312,,,385,,,,,,,,,,266,390,122,,,268,,,,,,,,28,28,35,28,,,5,,,,0,81,124,124,136,85
File,"EJBDeploymentTool.java",EJBDeploymentTool.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,0,0,0,4,,91,8,,,,13,12,0,,,70,,,,,,,,,,9,10,10,,,0,,,,,,,,0,0,0,0,,,0,,,,5,38,0,0,0,0
File,"Echo.java",Echo.java,1,1,1,1,10,0,6,3,,,,,1,0,0,5,,5,5,3,5,,0,0,0,5,,124,7,,,,40,13,22,,,78,,,,,,,,,,16,26,13,,,13,,,,,,,,5,5,5,1,,,3,,,,1,95,9,9,9,5
File,"EchoTest.java",EchoTest.java,1,1,1,1,4,0,4,0,,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,89,7,,,,24,7,11,,,58,,,,,,,,,,6,12,7,,,5,,,,,,,,1,1,1,1,,,0,,,,2,42,5,5,5,5
File,"EjbJar.java",EjbJar.java,1,1,1,1,13,0,7,4,,,,,1,0,0,11,,11,11,8,11,,0,0,0,11,,296,41,,,,108,45,60,,,148,,,,,,,,,,67,84,46,,,38,,,,,,,,9,9,9,1,,,3,,,,1,37,19,19,19,11
File,"Ejbc.java",Ejbc.java,1,1,2,1,16,0,8,6,,,,,1,0,0,6,,6,6,5,6,,0,0,0,6,,206,21,,,,67,26,36,,,118,,,,,,,,,,38,50,26,,,24,,,,,,,,6,6,9,1,,,1,,,,1,76,11,11,14,6
File,"EjbcHelper.java",EjbcHelper.java,3,3,4,1,33,2,21,9,,,,,1,1,0,5,,5,4,6,5,,0,4,0,1,,278,27,,,,125,52,78,,,126,,,,,,,,,,72,90,46,,,44,,,,,,,,10,10,15,5,,,2,,,,1,01,18,18,23,9
File,"EnumeratedAttribute.java",EnumeratedAttribute.java,2,2,2,1,8,0,5,2,,,,,1,0,0,4,,5,5,1,5,,0,0,0,5,,114,10,,,,28,10,11,,,76,,,,,,,,,,13,22,11,,,11,,,,,,,,4,4,5,4,,,2,,,,2,71,8,8,9,7
File,"EnumeratedAttributeTest.java",EnumeratedAttributeTest.java,2,2,2,1,8,0,8,0,,,,,3,0,1,5,,5,5,0,5,,0,0,0,5,,124,11,,,,55,15,30,,,58,,,,,,,,,,25,36,17,,,19,,,,,,,,6,6,6,1,,,2,,,,1,05,11,11,11,5
File,"Environment.java",Environment.java,1,1,1,1,4,0,4,0,,,,,2,0,0,11,,11,11,3,11,,0,0,0,11,,128,16,,,,54,20,20,,,58,,,,,,,,,,24,40,21,,,19,,,,,,,,3,3,3,1,,,1,,,,1,07,14,14,15,11
File,"Exec.java",Exec.java,2,2,2,1,11,1,9,0,,,,,2,0,1,12,,12,12,11,12,,0,0,3,9,,243,33,,,,136,44,81,,,75,,,,,,,,,,68,99,40,,,59,,,,,,,,13,13,14,1,,,4,,,,0,55,31,31,32,12
File,"ExecTask.java",ExecTask.java,1,1,1,1,9,0,6,3,,,,,1,0,0,17,,17,17,8,17,,0,0,7,10,,266,25,,,,123,34,70,,,119,,,,,,,,,,57,89,35,,,54,,,,,,,,4,4,4,4,,,3,,,,0,97,32,32,33,20
File,"Execute.java",Execute.java,1,1,1,1,13,0,8,4,,,,,8,2,3,28,,28,26,10,28,,4,1,3,20,,546,50,,,,271,73,131,,,225,,,,,,,,,,114,175,73,,,102,,,,,,,,7,7,8,6,,,2,,,,0,83,53,53,55,35
File,"ExecuteJava.java",ExecuteJava.java,3,3,3,1,11,0,10,0,,,,,1,0,0,4,,4,4,3,4,,0,0,0,4,,128,12,,,,57,24,33,,,59,,,,,,,,,,31,41,24,,,17,,,,,,,,9,9,9,1,,,2,,,,1,04,12,12,12,4
File,"ExecuteOn.java",ExecuteOn.java,3,3,3,1,15,1,12,1,,,,,2,0,0,6,,6,6,3,6,,0,0,2,4,,182,20,,,,89,26,54,,,73,,,,,,,,,,48,69,30,,,39,,,,,,,,13,13,13,1,,,5,,,,0,82,19,19,19,6
File,"ExecuteStreamHandler.java",ExecuteStreamHandler.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,5,5,0,5,,0,0,0,5,,100,8,,,,11,10,0,,,81,,,,,,,,,,9,10,10,,,0,,,,,,,,0,0,0,0,,,0,,,,7,36,0,0,0,0
File,"ExecuteWatchdog.java",ExecuteWatchdog.java,2,2,2,1,13,0,9,3,,,,,1,0,0,5,,5,5,4,5,,0,0,0,5,,145,14,,,,55,15,31,,,76,,,,,,,,,,25,39,15,,,24,,,,,,,,5,5,6,1,,,3,,,,1,38,13,13,14,5
File,"Exit.java",Exit.java,1,1,2,1,5,0,5,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,79,5,,,,15,6,5,,,59,,,,,,,,,,6,10,6,,,4,,,,,,,,2,2,3,1,,,1,,,,3,93,3,3,4,2
File,"Expand.java",Expand.java,4,4,4,1,27,3,19,4,,,,,1,0,0,4,,4,4,2,4,,0,1,0,3,,183,20,,,,84,22,54,,,81,,,,,,,,,,43,61,23,,,38,,,,,,,,9,9,9,1,,,5,,,,0,96,17,17,17,4
File,"FTP.java",FTP.java,3,3,3,1,23,1,17,4,,,,,2,0,6,27,,27,27,15,27,,0,0,11,16,,788,88,,,,504,98,277,,,199,,,,,,,,,,185,279,84,,,195,,,,,,,,14,14,15,4,,,6,,,,0,39,93,90,104,32
File,"FailTest.java",FailTest.java,1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,77,6,,,,15,6,4,,,56,,,,,,,,,,5,10,6,,,4,,,,,,,,1,1,1,1,,,0,,,,3,73,4,4,4,4
File,"FileScanner.java",FileScanner.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,13,13,0,13,,0,0,0,13,,102,2,,,,17,16,0,,,83,,,,,,,,,,15,16,16,,,0,,,,,,,,0,0,0,0,,,0,,,,4,88,0,0,0,0
File,"FileSet.java",FileSet.java,2,2,2,1,12,0,7,3,,,,,1,0,0,15,,15,15,4,15,,0,1,0,14,,279,34,,,,133,34,72,,,112,,,,,,,,,,62,99,35,,,64,,,,,,,,4,4,4,1,,,1,,,,0,84,36,36,37,15
File,"FileSetTest.java",FileSetTest.java,4,4,4,1,38,1,36,1,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,235,16,,,,156,18,124,,,66,,,,,,,,,,86,106,18,,,88,,,,,,,,12,12,12,1,,,1,,,,0,42,19,19,19,4
File,"Filter.java",Filter.java,1,1,2,1,8,1,7,0,,,,,1,0,0,5,,5,5,3,5,,0,0,1,4,,125,15,,,,49,24,23,,,61,,,,,,,,,,28,35,21,,,14,,,,,,,,4,4,9,1,,,1,,,,1,24,8,8,13,5
File,"FilterTest.java",FilterTest.java,1,1,1,1,5,0,5,0,,,,,1,0,1,11,,11,11,0,11,,0,1,0,10,,142,17,,,,69,22,36,,,56,,,,,,,,,,32,47,22,,,25,,,,,,,,4,4,4,1,,,2,,,,0,81,14,14,14,11
File,"FixCRLF.java",FixCRLF.java,6,6,7,1,29,2,19,9,,,,,2,0,0,9,,9,9,6,9,,0,0,0,9,,388,38,,,,191,47,135,,,171,,,,,,,,,,107,156,50,,,106,,,,,,,,42,39,47,1,,,5,,,,0,90,58,55,64,9
File,"FormatterElement.java",FormatterElement.java,1,1,1,1,6,0,6,0,,,,,2,0,0,11,,11,11,5,11,,3,0,0,8,,166,21,,,,83,27,41,,,63,,,,,,,,,,38,58,27,,,31,,,,,,,,8,8,9,1,,,2,,,,0,76,19,19,20,11
File,"GUnzip.java",GUnzip.java,5,5,5,1,22,2,20,0,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,143,15,,,,68,17,44,,,60,,,,,,,,,,30,46,17,,,29,,,,,,,,14,14,15,1,,,3,,,,0,88,16,16,17,3
File,"GUnzipTest.java",GUnzipTest.java,1,1,1,1,4,0,4,0,,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,90,8,,,,26,8,12,,,56,,,,,,,,,,11,19,8,,,11,,,,,,,,3,3,3,1,,,2,,,,2,15,7,7,7,5
File,"GZip.java",GZip.java,2,2,2,1,11,0,10,0,,,,,1,0,0,5,,5,5,2,5,,0,2,0,3,,138,15,,,,62,19,33,,,61,,,,,,,,,,26,39,17,,,22,,,,,,,,7,7,7,1,,,2,,,,0,98,12,12,12,5
File,"GenerateKey.java",GenerateKey.java,2,2,2,1,10,1,8,0,,,,,3,0,0,21,,21,21,17,21,,0,0,0,21,,337,59,,,,214,56,118,,,64,,,,,,,,,,117,165,57,,,108,,,,,,,,16,16,17,1,,,2,,,,0,30,45,45,46,21
File,"GenericDeploymentTool.java",GenericDeploymentTool.java,1,1,2,1,18,1,11,5,,,,,1,0,2,18,,18,18,8,18,,1,0,11,6,,454,67,,,,222,74,143,,,166,,,,,,,,,,108,142,67,,,75,,,,,,,,11,11,13,1,,,3,,,,0,75,35,35,37,18
File,"Get.java",Get.java,4,4,5,2,28,3,16,9,,,,,1,0,0,7,,7,7,5,7,,0,0,1,6,,283,32,,,,126,31,83,,,128,,,,,,,,,,65,96,31,,,65,,,,,,,,23,23,27,9,,,3,,,,1,02,31,31,35,15
File,"GetTest.java",GetTest.java,1,1,1,1,3,0,3,0,,,,,1,0,0,8,,8,8,0,8,,0,0,0,8,,101,12,,,,33,11,13,,,56,,,,,,,,,,12,22,11,,,11,,,,,,,,2,2,2,1,,,1,,,,1,70,9,9,9,8
File,"GzipTest.java",GzipTest.java,1,1,1,1,3,0,3,0,,,,,1,0,0,7,,7,7,0,7,,0,0,0,7,,95,10,,,,28,10,10,,,57,,,,,,,,,,10,19,10,,,9,,,,,,,,2,2,2,1,,,1,,,,2,04,8,8,8,7
File,"InnerClassFilenameFilter.java",InnerClassFilenameFilter.java,2,2,2,1,7,0,7,0,,,,,1,0,0,2,,2,2,1,2,,1,0,0,1,,23,4,,,,19,7,8,,,0,,,,,,,,,,8,13,7,,,6,,,,,,,,2,2,3,1,,,1,,,,0,00,4,4,5,2
File,"IntrospectionHelper.java",IntrospectionHelper.java,2,2,3,1,17,1,13,1,,,,,19,1,1,28,,30,29,6,30,,0,3,0,27,,521,64,,,,327,73,235,,,130,,,,,,,,,,120,188,74,,,114,,,,,,,,15,15,28,15,,,2,,,,0,40,69,69,90,47
File,"IntrospectionHelperTest.java",IntrospectionHelperTest.java,4,4,4,1,24,1,23,0,,,,,1,0,1,5,,5,5,1,5,,0,0,0,5,,203,16,,,,129,22,92,,,58,,,,,,,,,,66,83,19,,,64,,,,,,,,14,14,14,1,,,1,,,,0,45,20,20,20,5
File,"JJTree.java",JJTree.java,1,1,1,1,6,0,5,0,,,,,1,0,11,16,,16,16,5,16,,0,0,0,16,,222,33,,,,126,55,69,,,63,,,,,,,,,,67,92,53,,,39,,,,,,,,9,9,12,1,,,2,,,,0,50,24,24,27,16
File,"JUnitResultFormatter.java",JUnitResultFormatter.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,0,0,0,3,,81,5,,,,8,7,0,,,68,,,,,,,,,,6,7,7,,,0,,,,,,,,0,0,0,0,,,0,,,,8,50,0,0,0,0
File,"JUnitTask.java",JUnitTask.java,1,1,1,1,6,0,6,0,,,,,1,0,0,1,,1,1,7,1,,0,0,0,1,,107,9,,,,32,26,11,,,66,,,,,,,,,,26,26,25,,,1,,,,,,,,1,1,1,1,,,0,,,,2,06,1,1,1,1
