Kind,Name,File,CountClassCoupled,CountDeclMethod,CountDeclMethodAll,CountClassDerived,CountLineCode,SumCyclomatic,PercentLackOfCohesion,MaxInheritanceTree,Path,class_frequency,will_change,number_of_changes,release
Public Class,com.oreilly.servlet.MailMessage,MailMessage.java,1.0,27.0,27.0,0.0,177.0,77,88.0,1.0,com.oreilly.servlet.MailMessage.MailMessage.java,1,0,0,1
Class,com.oreilly.servlet.MailPrintStream,MailMessage.java,0.0,5.0,5.0,0.0,34.0,15,80.0,2.0,com.oreilly.servlet.MailPrintStream.MailMessage.java,1,0,0,1
Public Class,org.apache.tools.ant.AllJUnitTests,AllJUnitTests.java,3.0,2.0,2.0,0.0,11.0,45,0.0,2.0,org.apache.tools.ant.AllJUnitTests.AllJUnitTests.java,1,0,0,1
Public Class,org.apache.tools.ant.BuildEvent,BuildEvent.java,3.0,11.0,11.0,0.0,50.0,88,72.0,2.0,org.apache.tools.ant.BuildEvent.BuildEvent.java,1,0,0,1
Public Class,org.apache.tools.ant.BuildException,BuildException.java,1.0,10.0,10.0,0.0,38.0,29,60.0,2.0,org.apache.tools.ant.BuildException.BuildException.java,1,1,0,1
Public Class,org.apache.tools.ant.DefaultLogger,DefaultLogger.java,5.0,9.0,9.0,0.0,65.0,26,72.0,1.0,org.apache.tools.ant.DefaultLogger.DefaultLogger.java,1,1,0,1
Public Class,org.apache.tools.ant.DesirableFilter,DesirableFilter.java,0.0,1.0,1.0,0.0,20.0,5,0.0,1.0,org.apache.tools.ant.DesirableFilter.DesirableFilter.java,1,0,0,1
Public Class,org.apache.tools.ant.DirectoryScanner,DirectoryScanner.java,0.0,19.0,19.0,0.0,390.0,74,83.0,1.0,org.apache.tools.ant.DirectoryScanner.DirectoryScanner.java,1,1,0,1
Public Abstract Class,org.apache.tools.ant.EnumeratedAttribute,EnumeratedAttribute.java,1.0,5.0,5.0,3.0,26.0,88,50.0,1.0,org.apache.tools.ant.EnumeratedAttribute.EnumeratedAttribute.java,1,0,0,1
Public Class,org.apache.tools.ant.EnumeratedAttributeTest,EnumeratedAttributeTest.java,4.0,3.0,3.0,0.0,51.0,10,33.0,2.0,org.apache.tools.ant.EnumeratedAttributeTest.EnumeratedAttributeTest.java,1,0,0,1
Public Static Class,org.apache.tools.ant.EnumeratedAttributeTest.TestNormal,EnumeratedAttributeTest.java,1.0,1.0,6.0,0.0,5.0,0,0.0,2.0,org.apache.tools.ant.EnumeratedAttributeTest.TestNormal.EnumeratedAttributeTest.java,1,0,0,1
Public Static Class,org.apache.tools.ant.EnumeratedAttributeTest.TestNull,EnumeratedAttributeTest.java,0.0,1.0,6.0,0.0,5.0,0,0.0,2.0,org.apache.tools.ant.EnumeratedAttributeTest.TestNull.EnumeratedAttributeTest.java,1,0,0,1
Public Class,org.apache.tools.ant.IntrospectionHelper,IntrospectionHelper.java,7.0,12.0,12.0,0.0,316.0,24,79.0,1.0,org.apache.tools.ant.IntrospectionHelper.IntrospectionHelper.java,1,1,0,1
Anonymous Class,org.apache.tools.ant.IntrospectionHelper.IntrospectionHelper.(for_loop_1).(Anon_1),IntrospectionHelper.java,1.0,1.0,1.0,0.0,6.0,0,0.0,1.0,org.apache.tools.ant.IntrospectionHelper.IntrospectionHelper.(for_loop_1).(Anon_1).IntrospectionHelper.java,1,0,0,1
Anonymous Class,org.apache.tools.ant.IntrospectionHelper.IntrospectionHelper.(for_loop_1).(Anon_2),IntrospectionHelper.java,1.0,1.0,1.0,0.0,7.0,0,0.0,1.0,org.apache.tools.ant.IntrospectionHelper.IntrospectionHelper.(for_loop_1).(Anon_2).IntrospectionHelper.java,1,0,0,1
Anonymous Class,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_10),IntrospectionHelper.java,2.0,1.0,1.0,0.0,5.0,0,0.0,1.0,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_10).IntrospectionHelper.java,1,0,0,1
Anonymous Class,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_11),IntrospectionHelper.java,2.0,1.0,1.0,0.0,6.0,0,0.0,1.0,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_11).IntrospectionHelper.java,1,0,0,1
Anonymous Class,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_12),IntrospectionHelper.java,3.0,1.0,1.0,0.0,9.0,0,0.0,1.0,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_12).IntrospectionHelper.java,1,0,0,1
Anonymous Class,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_13),IntrospectionHelper.java,2.0,1.0,1.0,0.0,5.0,0,0.0,1.0,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_13).IntrospectionHelper.java,1,0,0,1
Anonymous Class,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_14),IntrospectionHelper.java,4.0,1.0,1.0,0.0,12.0,0,0.0,1.0,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_14).IntrospectionHelper.java,1,1,0,1
Anonymous Class,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_15),IntrospectionHelper.java,3.0,1.0,1.0,0.0,10.0,0,0.0,1.0,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_15).IntrospectionHelper.java,1,1,0,1
Anonymous Class,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_3),IntrospectionHelper.java,2.0,1.0,1.0,0.0,5.0,0,0.0,1.0,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_3).IntrospectionHelper.java,1,0,0,1
Anonymous Class,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_4),IntrospectionHelper.java,2.0,1.0,1.0,0.0,5.0,0,0.0,1.0,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_4).IntrospectionHelper.java,1,0,0,1
Anonymous Class,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_5),IntrospectionHelper.java,2.0,1.0,1.0,0.0,5.0,0,0.0,1.0,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_5).IntrospectionHelper.java,1,0,0,1
Anonymous Class,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_6),IntrospectionHelper.java,2.0,1.0,1.0,0.0,5.0,0,0.0,1.0,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_6).IntrospectionHelper.java,1,0,0,1
Anonymous Class,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_7),IntrospectionHelper.java,2.0,1.0,1.0,0.0,5.0,0,0.0,1.0,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_7).IntrospectionHelper.java,1,0,0,1
Anonymous Class,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_8),IntrospectionHelper.java,2.0,1.0,1.0,0.0,5.0,0,0.0,1.0,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_8).IntrospectionHelper.java,1,0,0,1
Anonymous Class,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_9),IntrospectionHelper.java,2.0,1.0,1.0,0.0,5.0,0,0.0,1.0,org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_9).IntrospectionHelper.java,1,0,0,1
Public Class,org.apache.tools.ant.IntrospectionHelperTest,IntrospectionHelperTest.java,2.0,5.0,5.0,0.0,122.0,4,0.0,2.0,org.apache.tools.ant.IntrospectionHelperTest.IntrospectionHelperTest.java,1,1,0,1
Public Class,org.apache.tools.ant.Location,Location.java,0.0,4.0,4.0,0.0,28.0,61,58.0,1.0,org.apache.tools.ant.Location.Location.java,1,0,0,1
Public Class,org.apache.tools.ant.Main,Main.java,5.0,7.0,7.0,0.0,199.0,32,69.0,1.0,org.apache.tools.ant.Main.Main.java,1,1,0,1
Public Class,org.apache.tools.ant.Path,Path.java,1.0,11.0,11.0,0.0,85.0,58,77.0,1.0,org.apache.tools.ant.Path.Path.java,1,0,0,1
Public Class,org.apache.tools.ant.PathTest,PathTest.java,1.0,6.0,6.0,0.0,124.0,5,66.0,2.0,org.apache.tools.ant.PathTest.PathTest.java,1,0,0,1
Public Class,org.apache.tools.ant.PathTokenizer,PathTokenizer.java,0.0,3.0,3.0,0.0,37.0,68,22.0,1.0,org.apache.tools.ant.PathTokenizer.PathTokenizer.java,1,0,0,1
Public Class,org.apache.tools.ant.Project,Project.java,1.0,2.0,2.0,0.0,55.0,38,100.0,1.0,org.apache.tools.ant.Project.Project.java,1,1,0,1
Public Class,org.apache.tools.ant.ProjectHelper,ProjectHelper.java,6.0,6.0,6.0,0.0,315.0,18,73.0,1.0,org.apache.tools.ant.ProjectHelper.ProjectHelper.java,1,1,0,1
Private Class,org.apache.tools.ant.ProjectHelper.AbstractHandler,ProjectHelper.java,1.0,4.0,4.0,4.0,19.0,74,50.0,2.0,org.apache.tools.ant.ProjectHelper.AbstractHandler.ProjectHelper.java,1,0,0,1
Private Class,org.apache.tools.ant.ProjectHelper.NestedElementHandler,ProjectHelper.java,3.0,4.0,8.0,0.0,34.0,9,58.0,3.0,org.apache.tools.ant.ProjectHelper.NestedElementHandler.ProjectHelper.java,1,1,0,1
Private Class,org.apache.tools.ant.ProjectHelper.ProjectHandler,ProjectHelper.java,3.0,6.0,10.0,0.0,55.0,5,0.0,3.0,org.apache.tools.ant.ProjectHelper.ProjectHandler.ProjectHelper.java,1,1,0,1
Private Class,org.apache.tools.ant.ProjectHelper.RootHandler,ProjectHelper.java,2.0,2.0,2.0,0.0,12.0,25,0.0,2.0,org.apache.tools.ant.ProjectHelper.RootHandler.ProjectHelper.java,1,1,0,1
Private Class,org.apache.tools.ant.ProjectHelper.TargetHandler,ProjectHelper.java,3.0,3.0,7.0,0.0,50.0,8,33.0,3.0,org.apache.tools.ant.ProjectHelper.TargetHandler.ProjectHelper.java,1,1,0,1
Private Class,org.apache.tools.ant.ProjectHelper.TaskHandler,ProjectHelper.java,7.0,4.0,8.0,0.0,32.0,12,37.0,3.0,org.apache.tools.ant.ProjectHelper.TaskHandler.ProjectHelper.java,1,1,0,1
Public Class,org.apache.tools.ant.Target,Target.java,3.0,13.0,13.0,0.0,67.0,7,85.0,1.0,org.apache.tools.ant.Target.Target.java,1,1,0,1
Public Abstract Class,org.apache.tools.ant.Task,Task.java,4.0,15.0,15.0,26.0,49.0,49,86.0,1.0,org.apache.tools.ant.Task.Task.java,1,1,0,1
Public Class,org.apache.tools.ant.TaskAdapter,TaskAdapter.java,2.0,3.0,18.0,0.0,25.0,48,0.0,2.0,org.apache.tools.ant.TaskAdapter.TaskAdapter.java,1,0,0,1
Public Class,org.apache.tools.ant.XmlLogger,XmlLogger.java,6.0,11.0,11.0,0.0,150.0,14,72.0,1.0,org.apache.tools.ant.XmlLogger.XmlLogger.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.Ant,Ant.java,6.0,7.0,22.0,0.0,74.0,35,69.0,2.0,org.apache.tools.ant.taskdefs.Ant.Ant.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.AntStructure,AntStructure.java,1.0,2.0,17.0,0.0,35.0,40,66.0,2.0,org.apache.tools.ant.taskdefs.AntStructure.AntStructure.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.Available,Available.java,2.0,9.0,24.0,0.0,51.0,10,75.0,2.0,org.apache.tools.ant.taskdefs.Available.Available.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.Chmod,Chmod.java,3.0,6.0,35.0,0.0,44.0,23,66.0,3.0,org.apache.tools.ant.taskdefs.Chmod.Chmod.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.CompileTask,CompileTask.java,2.0,3.0,47.0,0.0,24.0,79,33.0,4.0,org.apache.tools.ant.taskdefs.CompileTask.CompileTask.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.Copydir,Copydir.java,3.0,5.0,34.0,0.0,48.0,10,64.0,3.0,org.apache.tools.ant.taskdefs.Copydir.Copydir.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.Copyfile,Copyfile.java,2.0,4.0,19.0,0.0,25.0,20,50.0,2.0,org.apache.tools.ant.taskdefs.Copyfile.Copyfile.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.Cvs,Cvs.java,1.0,9.0,33.0,0.0,61.0,18,77.0,3.0,org.apache.tools.ant.taskdefs.Cvs.Cvs.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.Delete,Delete.java,3.0,4.0,33.0,0.0,55.0,51,50.0,3.0,org.apache.tools.ant.taskdefs.Delete.Delete.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.Deltree,Deltree.java,1.0,3.0,18.0,0.0,40.0,35,33.0,2.0,org.apache.tools.ant.taskdefs.Deltree.Deltree.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.Echo,Echo.java,1.0,2.0,17.0,0.0,9.0,78,0.0,2.0,org.apache.tools.ant.taskdefs.Echo.Echo.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.Exec,Exec.java,3.0,9.0,24.0,5.0,133.0,14,75.0,2.0,org.apache.tools.ant.taskdefs.Exec.Exec.java,1,0,0,1
Class,org.apache.tools.ant.taskdefs.Exec.StreamPumper,Exec.java,1.0,3.0,3.0,0.0,36.0,0,40.0,2.0,org.apache.tools.ant.taskdefs.Exec.StreamPumper.Exec.java,1,0,0,1
Public Class,org.apache.tools.ant.taskdefs.Expand,Expand.java,3.0,3.0,18.0,0.0,61.0,44,33.0,2.0,org.apache.tools.ant.taskdefs.Expand.Expand.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.Filter,Filter.java,1.0,3.0,18.0,0.0,13.0,46,33.0,2.0,org.apache.tools.ant.taskdefs.Filter.Filter.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.FixCRLF,FixCRLF.java,5.0,8.0,37.0,0.0,181.0,65,70.0,3.0,org.apache.tools.ant.taskdefs.FixCRLF.FixCRLF.java,1,0,0,1
Public Static Class,org.apache.tools.ant.taskdefs.FixCRLF.AddAsisRemove,FixCRLF.java,0.0,1.0,6.0,0.0,5.0,60,0.0,2.0,org.apache.tools.ant.taskdefs.FixCRLF.AddAsisRemove.FixCRLF.java,1,0,0,1
Public Class,org.apache.tools.ant.taskdefs.GUnzip,GUnzip.java,1.0,3.0,18.0,0.0,64.0,11,33.0,2.0,org.apache.tools.ant.taskdefs.GUnzip.GUnzip.java,1,0,0,1
Public Class,org.apache.tools.ant.taskdefs.GZip,GZip.java,2.0,5.0,20.0,0.0,52.0,15,60.0,2.0,org.apache.tools.ant.taskdefs.GZip.GZip.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.Get,Get.java,1.0,5.0,20.0,0.0,58.0,55,60.0,2.0,org.apache.tools.ant.taskdefs.Get.Get.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.Jar,Jar.java,1.0,5.0,42.0,0.0,38.0,45,60.0,4.0,org.apache.tools.ant.taskdefs.Jar.Jar.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.Java,Java.java,3.0,12.0,36.0,0.0,111.0,43,80.0,3.0,org.apache.tools.ant.taskdefs.Java.Java.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.Javac,Javac.java,4.0,15.0,44.0,1.0,148.0,57,89.0,3.0,org.apache.tools.ant.taskdefs.Javac.Javac.java,1,1,0,1
Class,org.apache.tools.ant.taskdefs.JavacOutputStream,JavacOutputStream.java,1.0,4.0,4.0,0.0,30.0,80,41.0,2.0,org.apache.tools.ant.taskdefs.JavacOutputStream.JavacOutputStream.java,1,0,0,1
Public Class,org.apache.tools.ant.taskdefs.Javadoc,Javadoc.java,8.0,57.0,81.0,0.0,755.0,10,96.0,3.0,org.apache.tools.ant.taskdefs.Javadoc.Javadoc.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.Javadoc.DocletInfo,Javadoc.java,2.0,7.0,7.0,0.0,35.0,0,66.0,1.0,org.apache.tools.ant.taskdefs.Javadoc.DocletInfo.Javadoc.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.Javadoc.DocletParam,Javadoc.java,0.0,4.0,4.0,0.0,16.0,0,50.0,1.0,org.apache.tools.ant.taskdefs.Javadoc.DocletParam.Javadoc.java,1,0,0,1
Public Class,org.apache.tools.ant.taskdefs.Javadoc.GroupArgument,Javadoc.java,0.0,5.0,5.0,0.0,18.0,0,60.0,1.0,org.apache.tools.ant.taskdefs.Javadoc.GroupArgument.Javadoc.java,1,0,0,1
Class,org.apache.tools.ant.taskdefs.Javadoc.JavaReader,Javadoc.java,0.0,4.0,4.0,0.0,66.0,11,0.0,2.0,org.apache.tools.ant.taskdefs.Javadoc.JavaReader.Javadoc.java,1,0,0,1
Public Class,org.apache.tools.ant.taskdefs.Javadoc.LinkArgument,Javadoc.java,1.0,7.0,7.0,0.0,25.0,0,71.0,1.0,org.apache.tools.ant.taskdefs.Javadoc.LinkArgument.Javadoc.java,1,0,0,1
Public Class,org.apache.tools.ant.taskdefs.Jikes,Jikes.java,2.0,2.0,2.0,0.0,21.0,86,0.0,1.0,org.apache.tools.ant.taskdefs.Jikes.Jikes.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.JikesOutputParser,JikesOutputParser.java,2.0,7.0,7.0,0.0,53.0,68,76.0,1.0,org.apache.tools.ant.taskdefs.JikesOutputParser.JikesOutputParser.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.KeySubst,KeySubst.java,1.0,7.0,22.0,0.0,96.0,39,71.0,2.0,org.apache.tools.ant.taskdefs.KeySubst.KeySubst.java,1,1,0,1
Public Abstract Class,org.apache.tools.ant.taskdefs.MatchingTask,MatchingTask.java,3.0,14.0,29.0,15.0,140.0,61,80.0,2.0,org.apache.tools.ant.taskdefs.MatchingTask.MatchingTask.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.MatchingTask.NameEntry,MatchingTask.java,1.0,4.0,4.0,0.0,12.0,42,37.0,1.0,org.apache.tools.ant.taskdefs.MatchingTask.NameEntry.MatchingTask.java,1,0,0,1
Public Class,org.apache.tools.ant.taskdefs.Mkdir,Mkdir.java,1.0,2.0,17.0,0.0,18.0,28,0.0,2.0,org.apache.tools.ant.taskdefs.Mkdir.Mkdir.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.Patch,Patch.java,1.0,9.0,33.0,0.0,67.0,45,77.0,3.0,org.apache.tools.ant.taskdefs.Patch.Patch.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.Property,Property.java,3.0,14.0,29.0,0.0,146.0,8,81.0,2.0,org.apache.tools.ant.taskdefs.Property.Property.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.Rename,Rename.java,1.0,4.0,19.0,0.0,26.0,85,50.0,2.0,org.apache.tools.ant.taskdefs.Rename.Rename.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.Replace,Replace.java,2.0,7.0,36.0,0.0,73.0,42,64.0,3.0,org.apache.tools.ant.taskdefs.Replace.Replace.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.Rmic,Rmic.java,4.0,16.0,45.0,0.0,239.0,32,85.0,3.0,org.apache.tools.ant.taskdefs.Rmic.Rmic.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.SignJar,SignJar.java,3.0,12.0,27.0,0.0,113.0,12,83.0,2.0,org.apache.tools.ant.taskdefs.SignJar.SignJar.java,1,0,0,1
Public Class,org.apache.tools.ant.taskdefs.Tar,Tar.java,4.0,4.0,33.0,0.0,62.0,19,50.0,3.0,org.apache.tools.ant.taskdefs.Tar.Tar.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.TaskOutputStream,TaskOutputStream.java,1.0,3.0,3.0,0.0,25.0,92,22.0,2.0,org.apache.tools.ant.taskdefs.TaskOutputStream.TaskOutputStream.java,1,0,0,1
Public Class,org.apache.tools.ant.taskdefs.Taskdef,Taskdef.java,2.0,5.0,20.0,0.0,38.0,26,40.0,2.0,org.apache.tools.ant.taskdefs.Taskdef.Taskdef.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.Touch,Touch.java,2.0,5.0,20.0,0.0,87.0,31,60.0,2.0,org.apache.tools.ant.taskdefs.Touch.Touch.java,1,0,0,1
Public Class,org.apache.tools.ant.taskdefs.Tstamp,Tstamp.java,1.0,1.0,16.0,0.0,15.0,40,0.0,2.0,org.apache.tools.ant.taskdefs.Tstamp.Tstamp.java,1,0,0,1
Public Class,org.apache.tools.ant.taskdefs.Untar,Untar.java,5.0,3.0,18.0,0.0,69.0,38,33.0,2.0,org.apache.tools.ant.taskdefs.Untar.Untar.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.XSLTProcess,XSLTProcess.java,4.0,8.0,37.0,0.0,95.0,29,72.0,3.0,org.apache.tools.ant.taskdefs.XSLTProcess.XSLTProcess.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.Zip,Zip.java,3.0,8.0,37.0,1.0,123.0,24,75.0,3.0,org.apache.tools.ant.taskdefs.Zip.Zip.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.optional.NetRexxC,NetRexxC.java,3.0,33.0,62.0,0.0,180.0,15,96.0,3.0,org.apache.tools.ant.taskdefs.optional.NetRexxC.NetRexxC.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.optional.RenameExtensions,RenameExtensions.java,3.0,7.0,36.0,0.0,56.0,36,60.0,3.0,org.apache.tools.ant.taskdefs.optional.RenameExtensions.RenameExtensions.java,1,0,0,1
Public Class,org.apache.tools.ant.taskdefs.optional.Script,Script.java,1.0,5.0,20.0,0.0,56.0,52,53.0,2.0,org.apache.tools.ant.taskdefs.optional.Script.Script.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.optional.XalanLiaison,XalanLiaison.java,0.0,3.0,3.0,0.0,14.0,43,33.0,1.0,org.apache.tools.ant.taskdefs.optional.XalanLiaison.XalanLiaison.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.optional.XslpLiaison,XslpLiaison.java,0.0,3.0,3.0,0.0,14.0,43,33.0,1.0,org.apache.tools.ant.taskdefs.optional.XslpLiaison.XslpLiaison.java,1,0,0,1
Public Class,org.apache.tools.ant.taskdefs.optional.ejb.DDCreator,DDCreator.java,4.0,4.0,33.0,0.0,40.0,27,50.0,3.0,org.apache.tools.ant.taskdefs.optional.ejb.DDCreator.DDCreator.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.optional.ejb.DDCreatorHelper,DDCreatorHelper.java,0.0,3.0,3.0,0.0,48.0,75,33.0,1.0,org.apache.tools.ant.taskdefs.optional.ejb.DDCreatorHelper.DDCreatorHelper.java,1,0,0,1
Public Class,org.apache.tools.ant.taskdefs.optional.ejb.EjbJar,EjbJar.java,5.0,11.0,40.0,0.0,262.0,83,81.0,3.0,org.apache.tools.ant.taskdefs.optional.ejb.EjbJar.EjbJar.java,1,1,0,1
Protected Class,org.apache.tools.ant.taskdefs.optional.ejb.EjbJar.DescriptorHandler,EjbJar.java,1.0,5.0,5.0,0.0,38.0,76,30.0,2.0,org.apache.tools.ant.taskdefs.optional.ejb.EjbJar.DescriptorHandler.EjbJar.java,1,0,0,1
Public Class,org.apache.tools.ant.taskdefs.optional.ejb.Ejbc,Ejbc.java,4.0,6.0,35.0,0.0,57.0,14,66.0,3.0,org.apache.tools.ant.taskdefs.optional.ejb.Ejbc.Ejbc.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.optional.ejb.EjbcHelper,EjbcHelper.java,0.0,5.0,5.0,0.0,116.0,63,63.0,1.0,org.apache.tools.ant.taskdefs.optional.ejb.EjbcHelper.EjbcHelper.java,1,0,0,1
Public Class,org.apache.tools.ant.taskdefs.optional.ejb.WLRun,WLRun.java,3.0,7.0,22.0,0.0,69.0,3,71.0,2.0,org.apache.tools.ant.taskdefs.optional.ejb.WLRun.WLRun.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.optional.ejb.WLStop,WLStop.java,3.0,6.0,21.0,0.0,38.0,39,66.0,2.0,org.apache.tools.ant.taskdefs.optional.ejb.WLStop.WLStop.java,1,0,0,1
Public Abstract Class,org.apache.tools.ant.taskdefs.optional.vss.MSVSS,MSVSS.java,0.0,6.0,30.0,1.0,52.0,37,66.0,3.0,org.apache.tools.ant.taskdefs.optional.vss.MSVSS.MSVSS.java,1,1,0,1
Public Class,org.apache.tools.ant.taskdefs.optional.vss.MSVSSGET,MSVSSGET.java,2.0,11.0,41.0,0.0,102.0,22,81.0,4.0,org.apache.tools.ant.taskdefs.optional.vss.MSVSSGET.MSVSSGET.java,1,1,0,1
Public Class,org.apache.tools.tar.TarBuffer,TarBuffer.java,0.0,21.0,21.0,0.0,221.0,42,67.0,1.0,org.apache.tools.tar.TarBuffer.TarBuffer.java,1,0,0,1
Public Class,org.apache.tools.tar.TarEntry,TarEntry.java,1.0,28.0,28.0,0.0,241.0,91,81.0,1.0,org.apache.tools.tar.TarEntry.TarEntry.java,1,0,0,1
Public Class,org.apache.tools.tar.TarInputStream,TarInputStream.java,2.0,16.0,16.0,0.0,195.0,53,82.0,2.0,org.apache.tools.tar.TarInputStream.TarInputStream.java,1,0,0,1
Public Class,org.apache.tools.tar.TarOutputStream,TarOutputStream.java,2.0,14.0,14.0,0.0,119.0,82,75.0,2.0,org.apache.tools.tar.TarOutputStream.TarOutputStream.java,1,0,0,1
Public Class,org.apache.tools.tar.TarUtils,TarUtils.java,0.0,7.0,7.0,0.0,84.0,73,0.0,1.0,org.apache.tools.tar.TarUtils.TarUtils.java,1,0,0,1
Public Class,org.apache.tools.ant.AntClassLoader,AntClassLoader.java,2.0,13.0,13.0,0.0,182.0,88,75.0,2.0,org.apache.tools.ant.AntClassLoader.AntClassLoader.java,1,1,0,2
Public Class,org.apache.tools.ant.BuildEvent,BuildEvent.java,3.0,11.0,11.0,0.0,50.0,88,72.0,2.0,org.apache.tools.ant.BuildEvent.BuildEvent.java,2,1,1,2
Public Class,org.apache.tools.ant.BuildException,BuildException.java,1.0,11.0,11.0,0.0,42.0,31,59.0,2.0,org.apache.tools.ant.BuildException.BuildException.java,2,1,2,2
Public Class,org.apache.tools.ant.DefaultLogger,DefaultLogger.java,5.0,12.0,12.0,0.0,83.0,43,79.0,1.0,org.apache.tools.ant.DefaultLogger.DefaultLogger.java,2,1,2,2
Public Class,org.apache.tools.ant.DesirableFilter,DesirableFilter.java,0.0,1.0,1.0,0.0,20.0,5,0.0,1.0,org.apache.tools.ant.DesirableFilter.DesirableFilter.java,2,0,1,2
Public Class,org.apache.tools.ant.DirectoryScanner,DirectoryScanner.java,1.0,22.0,22.0,1.0,472.0,70,85.0,1.0,org.apache.tools.ant.DirectoryScanner.DirectoryScanner.java,2,0,2,2
Public Class,org.apache.tools.ant.IntrospectionHelper,IntrospectionHelper.java,8.0,12.0,12.0,0.0,321.0,24,79.0,1.0,org.apache.tools.ant.IntrospectionHelper.IntrospectionHelper.java,2,0,2,2
Anonymous Class,org.apache.tools.ant.IntrospectionHelper.IntrospectionHelper.(for_loop_1).(Anon_1),IntrospectionHelper.java,1.0,1.0,1.0,0.0,6.0,0,0.0,1.0,org.apache.tools.ant.IntrospectionHelper.IntrospectionHelper.(for_loop_1).(Anon_1).IntrospectionHelper.java,2,0,1,2
