Kind,Name,File,CountClassCoupled,CountDeclMethod,CountDeclMethodAll,CountClassDerived,CountLineCode,SumCyclomatic,PercentLackOfCohesion,MaxInheritanceTree,Path,class_frequency,will_change,number_of_changes,release
Private Static Class,org.apache.tools.ant.taskdefs.DependSet.NonExistent,DependSet.java,1.0,1.0,50.0,0.0,6.0,0,0.0,5.0,org.apache.tools.ant.taskdefs.DependSet.NonExistent.DependSet.java,3,0,8,9
Public Class,org.apache.tools.ant.taskdefs.DiagnosticsTask,DiagnosticsTask.java,2.0,1.0,40.0,0.0,6.0,50,0.0,3.0,org.apache.tools.ant.taskdefs.DiagnosticsTask.DiagnosticsTask.java,3,0,8,9
Public Class,org.apache.tools.ant.taskdefs.Dirname,Dirname.java,2.0,3.0,42.0,0.0,20.0,60,33.0,3.0,org.apache.tools.ant.taskdefs.Dirname.Dirname.java,5,1,8,9
Public Class,org.apache.tools.ant.taskdefs.DirnameTest,DirnameTest.java,4.0,6.0,6.0,0.0,51.0,4,0.0,1.0,org.apache.tools.ant.taskdefs.DirnameTest.DirnameTest.java,5,1,9,9
Public Class,org.apache.tools.ant.taskdefs.DynamicTask,DynamicTask.java,2.0,3.0,42.0,0.0,18.0,0,0.0,3.0,org.apache.tools.ant.taskdefs.DynamicTask.DynamicTask.java,5,0,8,9
Public Class,org.apache.tools.ant.taskdefs.DynamicTask.Sub,DynamicTask.java,2.0,2.0,2.0,0.0,8.0,0,0.0,1.0,org.apache.tools.ant.taskdefs.DynamicTask.Sub.DynamicTask.java,5,0,8,9
Public Class,org.apache.tools.ant.taskdefs.DynamicTest,DynamicTest.java,2.0,2.0,2.0,0.0,16.0,0,0.0,1.0,org.apache.tools.ant.taskdefs.DynamicTest.DynamicTest.java,5,0,9,9
Public Class,org.apache.tools.ant.taskdefs.Ear,Ear.java,7.0,7.0,201.0,0.0,62.0,84,64.0,6.0,org.apache.tools.ant.taskdefs.Ear.Ear.java,6,1,8,9
Public Class,org.apache.tools.ant.taskdefs.Echo,Echo.java,11.0,9.0,48.0,0.0,54.0,30,77.0,3.0,org.apache.tools.ant.taskdefs.Echo.Echo.java,9,1,8,9
Public Static Class,org.apache.tools.ant.taskdefs.Echo.EchoLevel,Echo.java,0.0,0.0,13.0,0.0,2.0,50,0.0,3.0,org.apache.tools.ant.taskdefs.Echo.EchoLevel.Echo.java,7,0,8,9
Public Class,org.apache.tools.ant.taskdefs.EchoTest,EchoTest.java,6.0,3.0,3.0,0.0,52.0,17,33.0,1.0,org.apache.tools.ant.taskdefs.EchoTest.EchoTest.java,8,1,9,9
Private Class,org.apache.tools.ant.taskdefs.EchoTest.EchoTestLogger,EchoTest.java,1.0,2.0,22.0,0.0,12.0,50,50.0,2.0,org.apache.tools.ant.taskdefs.EchoTest.EchoTestLogger.EchoTest.java,3,0,8,9
Public Class,org.apache.tools.ant.taskdefs.EchoXML,EchoXML.java,6.0,4.0,19.0,0.0,67.0,42,50.0,3.0,org.apache.tools.ant.taskdefs.EchoXML.EchoXML.java,3,1,9,9
Public Static Class,org.apache.tools.ant.taskdefs.EchoXML.NamespacePolicy,EchoXML.java,3.0,4.0,13.0,0.0,29.0,3,0.0,2.0,org.apache.tools.ant.taskdefs.EchoXML.NamespacePolicy.EchoXML.java,2,1,9,9
Public Class,org.apache.tools.ant.taskdefs.EchoXMLTest,EchoXMLTest.java,3.0,5.0,5.0,0.0,34.0,0,0.0,1.0,org.apache.tools.ant.taskdefs.EchoXMLTest.EchoXMLTest.java,3,1,9,9
Public Class,org.apache.tools.ant.taskdefs.Exec,Exec.java,4.0,10.0,49.0,0.0,144.0,51,78.0,3.0,org.apache.tools.ant.taskdefs.Exec.Exec.java,9,1,8,9
Class,org.apache.tools.ant.taskdefs.Exec.StreamPumper,Exec.java,1.0,3.0,3.0,0.0,33.0,6,22.0,2.0,org.apache.tools.ant.taskdefs.Exec.StreamPumper.Exec.java,9,1,8,9
