Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLine_Javascript,CountLine_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",ClientOnlyExample.java,1,1,2,1,17,1,14,1,,,,,9,17,16,,4,,8,3,25,,0,13,2,10,,691,88,,,,488,181,258,,,117,,,,,,,,,,286,346,185,,,161,,,,,,,,5,5,7,1,,,3,,,,0.24,49,49,53,25
File,"AbstractBounds.java",AbstractBounds.java,2,2,2,1,10,0,7,2,,,,,4,3,2,12,,14,13,5,16,,0,1,0,15,,190,29,,,,116,42,51,,,45,,,,,,,,,,55,77,41,,,36,,,,,,,,9,9,10,7,,,3,,,,0.39,24,24,27,18
File,"AbstractBoundsTest.java",AbstractBoundsTest.java,1,1,1,1,15,3,12,0,,,,,1,0,0,6,,6,6,0,6,,0,1,0,5,,135,27,,,,88,24,51,,,20,,,,,,,,,,62,69,19,,,50,,,,,,,,1,1,1,1,,,0,,,,0.23,6,6,6,6
File,"AbstractByteOrderedPartitioner.java",AbstractByteOrderedPartitioner.java,1,1,1,1,10,0,8,1,,,,,2,0,2,15,,16,16,1,16,,0,2,0,14,,215,29,,,,153,43,70,,,34,,,,,,,,,,68,101,54,,,47,,,,,,,,7,7,7,1,,,3,,,,0.22,27,27,27,15
File,"AbstractCassandraDaemon.java",AbstractCassandraDaemon.java,2,2,2,1,21,1,14,5,,,,,3,1,2,14,,16,15,4,16,,0,0,4,12,,399,46,,,,244,58,109,,,109,,,,,,,,,,110,153,63,,,90,,,,,,,,11,11,12,1,,,3,,,,0.45,37,37,38,14
File,"AbstractColumnContainer.java",AbstractColumnContainer.java,1,1,2,1,6,0,6,0,,,,,2,0,1,26,,26,26,4,26,,0,0,1,25,,265,36,,,,196,63,68,,,35,,,,,,,,,,74,118,64,,,54,,,,,,,,13,13,14,4,,,3,,,,0.18,47,47,52,33
File,"AbstractColumnIterator.java",AbstractColumnIterator.java,1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,37,5,,,,12,6,1,,,20,,,,,,,,,,4,7,6,,,1,,,,,,,,1,1,1,1,,,0,,,,1.67,2,2,2,2
File,"AbstractCommitLogExecutorService.java",AbstractCommitLogExecutorService.java,1,1,1,1,4,0,4,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,62,8,,,,31,14,6,,,23,,,,,,,,,,13,19,14,,,5,,,,,,,,1,1,1,1,,,0,,,,0.74,5,5,5,5
File,"AbstractCommutativeType.java",AbstractCommutativeType.java,1,1,1,1,4,0,4,0,,,,,1,0,0,3,,4,4,0,4,,0,0,0,4,,51,6,,,,22,11,3,,,23,,,,,,,,,,10,14,11,,,3,,,,,,,,1,1,1,1,,,0,,,,1.05,3,3,3,3
File,"AbstractCompactedRow.java",AbstractCompactedRow.java,1,1,1,1,4,0,4,0,,,,,1,0,0,1,,6,6,1,6,,0,0,0,6,,77,10,,,,18,13,1,,,49,,,,,,,,,,12,14,13,,,1,,,,,,,,1,1,1,1,,,0,,,,2.72,1,1,1,1
