Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLine_Javascript,CountLine_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",ClientOnlyExample.java,2,2,2,1,16,1,14,1,,,,,7,15,13,,4,,6,3,21,,0,12,2,7,,545,70,,,,384,144,195,,,92,,,,,,,,,,231,281,147,,,134,,,,,,,,5,5,7,1,,,3,,,,0.24,43,43,47,21
File,"AIOExecutorService.java",AIOExecutorService.java,1,1,1,1,19,0,4,14,,,,,1,0,0,14,,14,14,1,14,,0,0,0,14,,309,18,,,,68,25,13,,,223,,,,,,,,,,18,33,20,,,13,,,,,,,,1,1,1,1,,,0,,,,3.28,14,14,14,14
File,"AboutDialog.java",AboutDialog.java,1,1,1,1,12,1,11,0,,,,,2,2,1,4,,4,2,0,4,,0,0,0,4,,82,10,,,,55,19,31,,,17,,,,,,,,,,34,39,20,,,19,,,,,,,,1,1,1,1,,,0,,,,0.31,4,4,4,4
File,"AbstractBounds.java",AbstractBounds.java,1,1,1,1,6,0,5,1,,,,,4,2,2,10,,12,12,5,14,,0,0,0,14,,130,20,,,,77,34,25,,,33,,,,,,,,,,36,50,32,,,18,,,,,,,,2,2,4,1,,,1,,,,0.43,14,14,16,10
File,"AbstractByteOrderedPartitioner.java",AbstractByteOrderedPartitioner.java,1,1,1,1,10,0,8,1,,,,,2,0,2,15,,16,16,1,16,,0,2,0,14,,221,29,,,,159,49,70,,,34,,,,,,,,,,74,107,60,,,47,,,,,,,,7,7,7,1,,,3,,,,0.21,27,27,27,15
File,"AbstractCache.java",AbstractCache.java,3,3,3,1,16,0,15,1,,,,,1,1,0,1,,1,0,0,1,,1,0,0,0,,46,3,,,,22,8,8,,,21,,,,,,,,,,9,13,8,,,5,,,,,,,,3,3,3,1,,,2,,,,0.95,3,3,3,1
File,"AbstractCassandraDaemon.java",AbstractCassandraDaemon.java,2,2,2,1,16,1,11,3,,,,,3,0,1,18,,20,20,6,20,,0,0,4,16,,415,47,,,,258,63,109,,,110,,,,,,,,,,112,157,66,,,91,,,,,,,,12,12,13,1,,,2,,,,0.43,37,37,38,18
File,"AbstractColumnIterator.java",AbstractColumnIterator.java,1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,37,5,,,,12,6,1,,,20,,,,,,,,,,4,7,6,,,1,,,,,,,,1,1,1,1,,,0,,,,1.67,2,2,2,2
File,"AbstractCommitLogExecutorService.java",AbstractCommitLogExecutorService.java,1,1,1,1,6,0,5,0,,,,,1,1,0,7,,7,6,1,7,,0,0,1,6,,83,10,,,,47,17,12,,,26,,,,,,,,,,17,26,17,,,9,,,,,,,,2,2,2,1,,,1,,,,0.55,8,8,8,7
File,"AbstractCompactedRow.java",AbstractCompactedRow.java,1,1,1,1,4,0,4,0,,,,,1,0,0,1,,5,5,1,5,,0,0,0,5,,63,9,,,,17,12,1,,,37,,,,,,,,,,11,13,12,,,1,,,,,,,,1,1,1,1,,,0,,,,2.18,1,1,1,1
