Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLine_Javascript,CountLine_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BinaryVerbHandler.java",BinaryVerbHandler.java,3,3,3,1,18,1,17,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,51,7,,,,27,13,11,,,17,,,,,,,,,,14,18,13,,,5,,,,,,,,3,3,3,1,,,2,,,,0,63,3,3,3,1
File,"BitSetSerializer.java",BitSetSerializer.java,1,1,1,1,9,0,9,0,,,,,1,2,0,2,,2,0,0,2,,0,0,0,2,,51,4,,,,29,13,8,,,18,,,,,,,,,,14,18,13,,,5,,,,,,,,2,2,2,1,,,1,,,,0,62,3,3,3,2
File,"BloomCalculations.java",BloomCalculations.java,2,2,2,1,17,0,9,7,,,,,2,2,6,3,,3,1,2,3,,0,0,0,3,,131,10,,,,61,18,42,,,69,,,,,,,,,,22,32,16,,,16,,,,,,,,5,5,5,3,,,1,,,,1,13,8,8,8,5
File,"BloomFilter.java",BloomFilter.java,1,1,1,1,6,0,6,0,,,,,2,2,1,17,,17,15,1,17,,5,0,0,12,,168,22,,,,120,34,39,,,26,,,,,,,,,,39,70,37,,,33,,,,,,,,3,3,3,3,,,2,,,,0,22,25,25,25,21
File,"BloomFilterTest.java",BloomFilterTest.java,1,1,1,1,5,0,5,0,,,,,1,0,1,7,,7,7,2,7,,0,0,0,7,,116,13,,,,55,23,18,,,48,,,,,,,,,,20,29,17,,,12,,,,,,,,3,3,3,1,,,1,,,,0,87,9,9,9,7
File,"BootStrapper.java",BootStrapper.java,2,2,2,1,15,0,13,1,,,,,5,6,1,14,,14,8,6,14,,4,1,0,9,,268,28,,,,200,63,92,,,41,,,,,,,,,,93,136,72,,,64,,,,,,,,5,5,5,4,,,3,,,,0,20,34,34,34,24
File,"BootStrapperTest.java",BootStrapperTest.java,1,1,1,1,10,1,8,0,,,,,2,0,0,9,,9,9,0,9,,0,2,0,7,,132,18,,,,94,47,52,,,20,,,,,,,,,,68,81,51,,,30,,,,,,,,2,2,3,1,,,1,,,,0,21,11,11,12,9
File,"BootstrapTest.java",BootstrapTest.java,1,1,1,1,17,1,16,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,53,6,,,,29,16,13,,,18,,,,,,,,,,22,24,15,,,9,,,,,,,,1,1,1,1,,,0,,,,0,62,1,1,1,1
File,"BoundedStatsDeque.java",BoundedStatsDeque.java,1,1,1,1,5,0,5,0,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,61,7,,,,33,11,8,,,21,,,,,,,,,,12,19,11,,,8,,,,,,,,2,2,2,1,,,1,,,,0,64,6,6,6,5
File,"BoundedStatsDequeTest.java",BoundedStatsDequeTest.java,1,1,1,1,43,5,34,5,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,78,12,,,,42,10,31,,,25,,,,,,,,,,35,37,9,,,28,,,,,,,,1,1,1,1,,,0,,,,0,60,1,1,1,1
File,"BufferedRandomAccessFile.java",BufferedRandomAccessFile.java,2,2,2,1,11,0,9,1,,,,,1,0,3,22,,22,22,10,22,,0,4,0,18,,400,31,,,,235,50,113,,,145,,,,,,,,,,103,148,50,,,98,,,,,,,,4,4,5,4,,,3,,,,0,62,45,45,49,30
File,"BytesToken.java",BytesToken.java,1,1,1,1,5,0,5,0,,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,62,8,,,,36,15,11,,,18,,,,,,,,,,12,20,11,,,9,,,,,,,,3,3,3,3,,,1,,,,0,50,7,7,7,7
File,"BytesType.java",BytesType.java,1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,39,5,,,,14,6,2,,,20,,,,,,,,,,5,8,6,,,2,,,,,,,,1,1,1,1,,,0,,,,1,43,2,2,2,2
File,"BytesTypeTest.java",BytesTypeTest.java,1,1,1,1,11,0,11,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,42,4,,,,18,7,8,,,20,,,,,,,,,,11,13,6,,,7,,,,,,,,1,1,1,1,,,0,,,,1,11,1,1,1,1
File,"CFMetaData.java",CFMetaData.java,1,1,1,1,6,0,6,0,,,,,1,0,0,1,,1,1,6,1,,0,0,0,1,,39,4,,,,17,10,3,,,24,,,,,,,,,,9,11,10,,,1,,,,,,,,1,1,1,1,,,0,,,,1,41,1,1,1,1
File,"Cachetable.java",Cachetable.java,1,1,1,1,7,0,6,0,,,,,3,0,2,20,,20,20,7,20,,4,1,0,15,,215,28,,,,159,47,60,,,28,,,,,,,,,,58,93,48,,,45,,,,,,,,8,8,9,1,,,3,,,,0,18,30,30,31,20
File,"Cassandra.java",Cassandra.java,2,2,3,1,11,0,10,0,,,,,70,0,258,971,,985,985,111,985,,0,0,0,985,,13458,1660,,,,11222,2140,7439,,,576,,,,,,,,,,5290,7815,1929,,,5886,,,,,,,,23,23,47,23,,,5,,,,0,05,2780,2504,3140,1613
File,"CassandraBulkLoader.java",CassandraBulkLoader.java,2,2,2,1,25,2,21,1,,,,,3,3,0,7,,7,4,4,7,,0,0,0,7,,265,29,,,,186,60,82,,,50,,,,,,,,,,99,123,62,,,61,,,,,,,,4,4,4,1,,,2,,,,0,27,20,20,20,7
File,"CassandraDaemon.java",CassandraDaemon.java,2,2,2,1,20,2,15,2,,,,,2,1,1,7,,7,6,1,7,,0,1,0,6,,193,31,,,,121,40,61,,,41,,,,,,,,,,62,80,42,,,38,,,,,,,,6,6,6,1,,,2,,,,0,34,16,16,16,7
File,"CassandraServer.java",CassandraServer.java,3,3,4,1,20,1,18,0,,,,,1,0,4,26,,26,26,1,26,,0,8,1,17,,618,74,,,,506,121,257,,,38,,,,,,,,,,194,307,122,,,185,,,,,,,,8,8,8,6,,,4,,,,0,08,99,99,107,44
File,"CassandraServerTest.java",CassandraServerTest.java,1,1,1,1,32,5,2,25,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,60,8,,,,9,6,0,,,43,,,,,,,,,,3,5,5,,,0,,,,,,,,1,1,1,1,,,0,,,,4,78,1,1,1,1
File,"CircuitFrame.java",CircuitFrame.java,1,1,1,1,18,2,15,1,,,,,7,1,5,13,,11,12,12,13,,0,3,0,10,,251,34,,,,188,57,101,,,29,,,,,,,,,,110,136,59,,,77,,,,,,,,6,6,6,4,,,1,,,,0,15,22,22,22,16
File,"CleanupHelper.java",CleanupHelper.java,5,5,5,1,24,1,20,2,,,,,1,3,1,3,,3,0,0,3,,0,0,0,3,,110,12,,,,73,17,31,,,25,,,,,,,,,,22,45,19,,,26,,,,,,,,14,14,14,1,,,5,,,,0,34,17,17,17,3
File,"CliClient.java",CliClient.java,4,3,4,1,29,3,24,1,,,,,1,0,0,14,,14,14,3,14,,1,11,0,2,,466,66,,,,355,82,247,,,45,,,,,,,,,,199,249,85,,,164,,,,,,,,15,10,15,7,,,3,,,,0,13,60,48,61,26
File,"CliCompiler.java",CliCompiler.java,1,1,1,1,9,1,7,0,,,,,2,6,0,8,,8,2,0,8,,0,0,0,8,,122,21,,,,67,19,26,,,34,,,,,,,,,,25,38,19,,,19,,,,,,,,3,3,3,3,,,1,,,,0,51,11,11,11,10
File,"CliCompleter.java",CliCompleter.java,1,1,1,1,4,0,4,0,,,,,1,0,2,2,,2,2,0,2,,1,0,0,1,,51,4,,,,30,21,15,,,17,,,,,,,,,,6,9,7,,,2,,,,,,,,1,1,1,1,,,0,,,,0,57,2,2,2,2
File,"CliMain.java",CliMain.java,3,3,3,1,20,2,16,1,,,,,1,6,7,6,,6,0,0,6,,0,2,0,4,,175,27,,,,119,30,60,,,29,,,,,,,,,,53,76,33,,,43,,,,,,,,9,9,9,4,,,4,,,,0,24,19,19,19,9
File,"CliOptions.java",CliOptions.java,3,3,3,1,26,2,19,4,,,,,1,1,5,2,,2,1,1,2,,0,1,0,1,,98,12,,,,56,13,30,,,32,,,,,,,,,,25,32,12,,,20,,,,,,,,5,5,5,1,,,1,,,,0,57,6,6,6,2
File,"CliSessionState.java",CliSessionState.java,1,1,1,1,5,0,5,0,,,,,1,0,0,1,,1,1,7,1,,0,0,0,1,,43,6,,,,17,12,5,,,23,,,,,,,,,,13,15,12,,,3,,,,,,,,1,1,1,1,,,0,,,,1,35,1,1,1,1
File,"CliUtils.java",CliUtils.java,14,4,15,1,34,1,33,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,65,3,,,,37,5,22,,,25,,,,,,,,,,32,37,6,,,31,,,,,,,,14,4,15,1,,,3,,,,0,68,14,4,15,1
Public Class,"ClientOnlyExample",ClientOnlyExample.java,5,5,5,1,44,3,34,7,1,14,14,0,,3,0,,,,0,0,3,3,0,2,0,1,,157,12,,,,106,14,54,,,39,,,,,,,,,,37,55,16,,,39,,,,,,,,7,7,7,1,,1,4,,0,0,0,37,17,17,17,3
File,"ClientOnlyExample.java",ClientOnlyExample.java,5,5,5,1,44,3,34,7,,,,,2,3,0,3,,3,0,0,3,,0,2,0,1,,168,15,,,,114,22,54,,,39,,,,,,,,,,45,63,24,,,39,,,,,,,,7,7,7,1,,,4,,,,0,34,17,17,17,3
Public Static Method,"ClientOnlyExample.main",ClientOnlyExample.java,,,,,,,,,,,,,,,,,,,,,,,,,,,4,42,3,,,,27,1,12,,,12,,,,,,,4,6,1,5,11,1,,,10,,,6,6,6,1,4,,,,,0,,2,0,,,0,44,6,6,6,1
Private Static Method,"ClientOnlyExample.testReading",ClientOnlyExample.java,,,,,,,,,,,,,,,,,,,,,,,,,,,5,55,3,,,,47,8,26,,,5,,,,,,,15,12,1,19,26,9,,,17,,,7,7,7,1,5,,,,,0,,4,0,,,0,11,7,7,7,1
Anonymous Class,"ClientOnlyExample.testReading.(Anon_1)",ClientOnlyExample.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,2,0,,,,2,0,1,,,0,,,,,,,,,,1,1,0,,,1,,,,,,,,0,0,0,0,,2,0,,0,0,0,00,0,0,0,0
Private Static Method,"ClientOnlyExample.testWriting",ClientOnlyExample.java,,,,,,,,,,,,,,,,,,,,,,,,,,,1,37,3,,,,29,4,16,,,5,,,,,,,12,6,1,13,17,5,,,12,,,4,4,4,1,2,,,,,0,,2,0,,,0,17,4,4,4,1
File,"CloseableIterator.java",CloseableIterator.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,30,3,,,,6,4,0,,,21,,,,,,,,,,3,4,4,,,0,,,,,,,,0,0,0,0,,,0,,,,3,50,0,0,0,0
File,"CollatingOrderPreservingPartitioner.java",CollatingOrderPreservingPartitioner.java,1,1,1,1,6,0,5,0,,,,,2,0,3,15,,15,15,1,15,,0,2,0,13,,151,22,,,,99,35,38,,,30,,,,,,,,,,43,62,39,,,23,,,,,,,,4,4,4,1,,,1,,,,0,30,19,19,19,15
File,"CollatingOrderPreservingPartitionerTest.java",CollatingOrderPreservingPartitionerTest.java,1,1,1,1,7,0,6,1,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,54,5,,,,28,12,11,,,21,,,,,,,,,,14,18,9,,,9,,,,,,,,1,1,1,1,,,0,,,,0,75,3,3,3,3
File,"Column.java",Column.java,1,1,1,1,6,0,5,0,,,,,1,1,2,24,,24,23,4,24,,2,0,0,22,,228,35,,,,153,42,55,,,40,,,,,,,,,,63,92,42,,,50,,,,,,,,3,3,3,1,,,1,,,,0,26,29,29,29,24
File,"Column.java",Column.java,2,2,3,1,10,0,10,0,,,,,2,0,9,31,,31,31,4,31,,0,0,0,31,,459,57,,,,358,82,228,,,44,,,,,,,,,,179,261,75,,,186,,,,,,,,13,13,21,11,,,3,,,,0,12,91,83,101,52
File,"ColumnFamily.java",ColumnFamily.java,1,1,1,1,7,0,7,0,,,,,1,7,4,42,,42,35,8,42,,4,1,0,37,,441,58,,,,347,93,147,,,37,,,,,,,,,,136,209,98,,,111,,,,,,,,6,6,7,1,,,3,,,,0,11,70,70,71,42
File,"ColumnFamilyNotDefinedException.java",ColumnFamilyNotDefinedException.java,1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,29,3,,,,9,4,1,,,17,,,,,,,,,,3,5,4,,,1,,,,,,,,1,1,1,1,,,0,,,,1,89,1,1,1,1
File,"ColumnFamilySerializer.java",ColumnFamilySerializer.java,2,2,2,1,11,0,10,0,,,,,1,0,0,9,,9,9,0,9,,0,2,0,7,,163,15,,,,109,26,49,,,40,,,,,,,,,,47,66,28,,,38,,,,,,,,4,4,4,4,,,2,,,,0,37,18,18,18,14
File,"ColumnFamilyStore.java",ColumnFamilyStore.java,2,2,2,1,16,0,13,2,,,,,13,12,6,88,,88,76,13,88,,27,9,2,50,,1633,158,,,,1169,276,607,,,313,,,,,,,,,,474,712,312,,,400,,,,,,,,13,13,16,10,,,4,,,,0,27,197,197,217,117
File,"ColumnFamilyStoreMBean.java",ColumnFamilyStoreMBean.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,10,10,0,10,,0,0,0,10,,88,13,,,,16,14,0,,,59,,,,,,,,,,13,14,14,,,0,,,,,,,,0,0,0,0,,,0,,,,3,69,0,0,0,0
File,"ColumnFamilyStoreTest.java",ColumnFamilyStoreTest.java,1,1,1,1,15,1,13,0,,,,,2,0,2,5,,5,5,1,5,,0,1,0,4,,131,15,,,,94,53,43,,,22,,,,,,,,,,67,74,50,,,24,,,,,,,,2,2,2,1,,,1,,,,0,23,6,6,6,5
File,"ColumnFamilyStoreUtils.java",ColumnFamilyStoreUtils.java,2,2,2,1,21,3,12,6,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,48,5,,,,19,11,9,,,24,,,,,,,,,,12,16,12,,,4,,,,,,,,2,2,2,1,,,1,,,,1,26,2,2,2,1
File,"ColumnFamilyTest.java",ColumnFamilyTest.java,1,1,1,1,17,2,14,1,,,,,1,0,0,5,,5,5,0,5,,0,0,0,5,,133,22,,,,88,34,48,,,25,,,,,,,,,,58,69,32,,,37,,,,,,,,4,4,4,1,,,1,,,,0,28,8,8,8,5
