Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLine_Javascript,CountLine_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",ClientOnlyExample.java,2,2,2,1,18,1,16,0,,,,,15,25,29,,7,,20,8,45,,0,21,5,19,,1294,166,,,,939,315,519,,,193,,,,,,,,,,486,603,306,,,297,,,,,,,,7,7,9,3,,,3,,,,0.21,92,92,98,47
File,"AbstractBounds.java",AbstractBounds.java,2,2,2,1,9,0,8,0,,,,,3,0,2,11,,17,19,5,19,,0,2,2,15,,202,25,,,,131,46,49,,,46,,,,,,,,,,60,83,44,,,39,,,,,,,,4,4,4,3,,,2,,,,0.35,22,22,22,13
File,"AbstractByteOrderedPartitioner.java",AbstractByteOrderedPartitioner.java,1,1,1,1,10,0,8,1,,,,,2,0,2,16,,17,17,1,17,,0,2,0,15,,225,29,,,,163,47,74,,,33,,,,,,,,,,73,109,58,,,51,,,,,,,,7,7,7,1,,,3,,,,0.20,30,30,30,16
File,"AbstractCassandraStorage.java",AbstractCassandraStorage.java,3,3,4,1,21,1,18,1,,,,,2,3,14,37,,36,35,18,38,,0,4,20,14,,930,89,,,,778,240,450,,,66,,,,,,,,,,354,500,214,,,286,,,,,,,,16,16,20,12,,,4,,,,0.08,138,138,156,65
File,"AbstractColumnContainer.java",AbstractColumnContainer.java,1,1,1,1,4,0,4,0,,,,,1,0,0,30,,30,30,1,30,,0,0,1,29,,215,36,,,,147,45,38,,,32,,,,,,,,,,47,85,47,,,38,,,,,,,,4,4,5,4,,,2,,,,0.22,35,35,36,35
File,"AbstractColumnFamilyInputFormat.java",AbstractColumnFamilyInputFormat.java,4,4,4,1,27,1,24,1,,,,,2,1,4,9,,9,8,5,9,,0,3,1,5,,346,33,,,,276,96,138,,,37,,,,,,,,,,144,189,103,,,86,,,,,,,,12,12,12,7,,,5,,,,0.13,40,40,43,15
File,"AbstractColumnFamilyOutputFormat.java",AbstractColumnFamilyOutputFormat.java,1,1,1,1,7,0,4,2,,,,,2,1,3,11,,11,10,0,11,,0,0,1,10,,159,17,,,,71,35,26,,,71,,,,,,,,,,35,52,34,,,18,,,,,,,,4,4,4,1,,,1,,,,1.00,15,15,15,11
File,"AbstractColumnFamilyRecordWriter.java",AbstractColumnFamilyRecordWriter.java,2,2,2,1,10,0,8,2,,,,,2,0,0,8,,10,10,11,10,,0,0,3,7,,193,24,,,,103,42,32,,,66,,,,,,,,,,49,67,40,,,27,,,,,,,,5,5,5,4,,,3,,,,0.64,16,16,16,11
File,"AbstractColumnIterator.java",AbstractColumnIterator.java,1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,33,4,,,,12,6,1,,,17,,,,,,,,,,4,7,6,,,1,,,,,,,,1,1,1,1,,,0,,,,1.42,2,2,2,2
File,"AbstractCommitLogExecutorService.java",AbstractCommitLogExecutorService.java,1,1,1,1,4,0,4,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,55,7,,,,28,11,6,,,20,,,,,,,,,,10,16,11,,,5,,,,,,,,1,1,1,1,,,0,,,,0.71,5,5,5,5
