Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLine_Javascript,CountLine_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",ClientOnlyExample.java,2,2,2,1,19,1,16,1,,,,,9,17,16,,4,,8,3,25,,0,13,2,10,,745,97,,,,530,183,291,,,120,,,,,,,,,,300,367,187,,,180,,,,,,,,7,7,9,1,,,3,,,,0.23,54,54,58,25
File,"AbstractBounds.java",AbstractBounds.java,2,2,2,1,9,0,8,0,,,,,3,0,2,11,,16,18,5,18,,0,2,2,14,,200,24,,,,130,45,49,,,46,,,,,,,,,,59,82,43,,,39,,,,,,,,4,4,4,3,,,2,,,,0.35,22,22,22,13
File,"AbstractByteOrderedPartitioner.java",AbstractByteOrderedPartitioner.java,1,1,1,1,10,0,9,1,,,,,2,0,2,15,,16,16,1,16,,0,2,0,14,,218,28,,,,157,44,73,,,33,,,,,,,,,,70,105,55,,,50,,,,,,,,7,7,7,1,,,3,,,,0.21,29,29,29,15
File,"AbstractColumnContainer.java",AbstractColumnContainer.java,1,1,1,1,4,0,4,0,,,,,1,0,0,28,,28,28,1,28,,0,0,1,27,,205,34,,,,139,43,36,,,32,,,,,,,,,,45,81,45,,,36,,,,,,,,4,4,5,4,,,2,,,,0.23,33,33,34,33
File,"AbstractColumnIterator.java",AbstractColumnIterator.java,1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,33,4,,,,12,6,1,,,17,,,,,,,,,,4,7,6,,,1,,,,,,,,1,1,1,1,,,0,,,,1.42,2,2,2,2
File,"AbstractCommitLogExecutorService.java",AbstractCommitLogExecutorService.java,1,1,1,1,4,0,4,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,55,7,,,,28,11,6,,,20,,,,,,,,,,10,16,11,,,5,,,,,,,,1,1,1,1,,,0,,,,0.71,5,5,5,5
File,"AbstractCommutativeType.java",AbstractCommutativeType.java,1,1,1,1,4,0,4,0,,,,,1,0,0,3,,4,4,0,4,,0,0,0,4,,46,5,,,,21,10,3,,,20,,,,,,,,,,9,13,10,,,3,,,,,,,,1,1,1,1,,,0,,,,0.95,3,3,3,3
File,"AbstractCompactedRow.java",AbstractCompactedRow.java,1,1,1,1,4,0,4,0,,,,,1,0,0,1,,7,7,1,7,,0,0,0,7,,81,10,,,,23,18,1,,,48,,,,,,,,,,17,19,18,,,1,,,,,,,,1,1,1,1,,,0,,,,2.09,1,1,1,1
File,"AbstractCompactionIterable.java",AbstractCompactionIterable.java,1,1,1,1,9,0,9,0,,,,,1,0,0,2,,3,3,5,3,,0,0,0,3,,54,7,,,,30,13,12,,,17,,,,,,,,,,17,22,14,,,8,,,,,,,,2,2,2,1,,,1,,,,0.57,3,3,3,2
File,"AbstractCompactionStrategy.java",AbstractCompactionStrategy.java,2,2,2,1,17,1,11,5,,,,,1,1,5,6,,11,10,4,11,,0,0,2,9,,197,24,,,,92,40,45,,,81,,,,,,,,,,52,71,43,,,28,,,,,,,,6,6,6,5,,,2,,,,0.88,17,17,17,10
File,"AbstractCompactionTask.java",AbstractCompactionTask.java,1,1,1,1,5,0,5,0,,,,,1,0,0,5,,6,6,4,6,,0,0,0,6,,65,9,,,,39,17,10,,,17,,,,,,,,,,21,27,17,,,10,,,,,,,,1,1,1,1,,,0,,,,0.44,5,5,5,5
File,"AbstractCompositeType.java",AbstractCompositeType.java,3,3,3,2,16,2,13,0,,,,,3,7,0,16,,26,19,2,26,,7,0,9,10,,363,57,,,,245,86,145,,,64,,,,,,,,,,135,184,89,,,95,,,,,,,,12,12,13,10,,,3,,,,0.26,48,48,53,32
File,"AbstractDataInput.java",AbstractDataInput.java,2,2,2,1,21,0,8,12,,,,,1,0,0,14,,16,16,0,16,,0,0,2,14,,344,17,,,,129,33,76,,,199,,,,,,,,,,53,84,33,,,51,,,,,,,,8,6,8,7,,,3,,,,1.54,33,31,36,20
File,"AbstractDataOutput.java",AbstractDataOutput.java,1,1,2,1,18,0,7,10,,,,,1,0,0,12,,14,14,0,14,,0,0,0,14,,301,16,,,,105,32,64,,,181,,,,,,,,,,68,90,36,,,54,,,,,,,,8,8,10,1,,,2,,,,1.72,23,23,25,12
File,"AbstractEndpointSnitch.java",AbstractEndpointSnitch.java,1,1,1,1,8,0,5,3,,,,,2,0,0,4,,5,5,0,5,,0,0,0,5,,60,5,,,,26,9,7,,,29,,,,,,,,,,9,14,10,,,4,,,,,,,,1,1,1,1,,,0,,,,1.12,4,4,4,4
File,"AbstractJdbcType.java",AbstractJdbcType.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,12,12,0,12,,0,0,0,12,,36,2,,,,17,15,0,,,17,,,,,,,,,,14,15,15,,,0,,,,,,,,0,0,0,0,,,0,,,,1.00,0,0,0,0
File,"AbstractJdbcUUID.java",AbstractJdbcUUID.java,1,1,1,1,4,0,4,0,,,,,1,0,0,9,,9,9,0,9,,0,0,0,9,,69,10,,,,42,13,9,,,17,,,,,,,,,,12,22,13,,,9,,,,,,,,1,1,1,1,,,0,,,,0.40,9,9,9,9
File,"AbstractJmxClient.java",AbstractJmxClient.java,1,1,1,1,5,0,5,0,,,,,2,3,4,16,,16,13,10,16,,2,1,0,13,,171,26,,,,125,53,43,,,21,,,,,,,,,,64,85,53,,,32,,,,,,,,3,3,3,1,,,1,,,,0.17,20,20,20,16
File,"AbstractModification.java",AbstractModification.java,1,1,1,1,5,0,4,0,,,,,1,0,1,9,,11,11,6,11,,0,0,0,11,,121,15,,,,63,29,15,,,43,,,,,,,,,,31,41,27,,,14,,,,,,,,2,2,2,1,,,0,,,,0.68,11,11,11,9
File,"AbstractNetworkTopologySnitch.java",AbstractNetworkTopologySnitch.java,7,7,13,7,24,2,22,0,,,,,1,0,0,1,,3,3,0,3,,0,0,0,3,,66,6,,,,29,12,19,,,31,,,,,,,,,,17,25,12,,,13,,,,,,,,7,7,13,7,,,1,,,,1.07,7,7,13,7
File,"AbstractPartitioner.java",AbstractPartitioner.java,2,2,2,1,8,0,8,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,30,1,,,,12,4,5,,,17,,,,,,,,,,4,7,4,,,3,,,,,,,,2,2,2,1,,,1,,,,1.42,2,2,2,1
File,"AbstractReplicationStrategy.java",AbstractReplicationStrategy.java,1,1,1,1,9,0,8,0,,,,,1,3,1,17,,20,17,5,20,,1,0,2,17,,267,34,,,,184,71,66,,,49,,,,,,,,,,80,115,66,,,49,,,,,,,,3,3,3,3,,,2,,,,0.27,30,30,30,19
File,"AbstractRowResolver.java",AbstractRowResolver.java,1,1,1,1,4,0,4,0,,,,,1,0,1,3,,3,3,3,3,,0,0,0,3,,55,8,,,,30,18,6,,,17,,,,,,,,,,18,22,18,,,4,,,,,,,,1,1,1,1,,,0,,,,0.57,3,3,3,3
