Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLine_Javascript,CountLine_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",ClientOnlyExample.java,2,2,2,1,18,1,15,1,,,,,7,11,10,,4,,6,3,17,,0,8,2,7,,488,64,,,,338,126,173,,,86,,,,,,,,,,207,253,129,,,124,,,,,,,,5,5,7,1,,,3,,,,0,25,38,38,41,17
File,"AIOExecutorService.java",AIOExecutorService.java,1,1,1,1,19,0,4,14,,,,,1,0,0,14,,14,14,1,14,,0,0,0,14,,309,18,,,,68,25,13,,,223,,,,,,,,,,18,33,20,,,13,,,,,,,,1,1,1,1,,,0,,,,3,28,14,14,14,14
File,"AboutDialog.java",AboutDialog.java,1,1,1,1,12,1,11,0,,,,,2,2,1,4,,4,2,0,4,,0,0,0,4,,82,10,,,,55,19,31,,,17,,,,,,,,,,34,39,20,,,19,,,,,,,,1,1,1,1,,,0,,,,0,31,4,4,4,4
File,"AbstractBounds.java",AbstractBounds.java,1,1,1,1,6,0,5,1,,,,,4,2,2,10,,12,12,5,14,,0,0,0,14,,130,20,,,,77,34,25,,,33,,,,,,,,,,36,50,32,,,18,,,,,,,,2,2,4,1,,,1,,,,0,43,14,14,16,10
File,"AbstractByteOrderedPartitioner.java",AbstractByteOrderedPartitioner.java,1,1,1,1,8,0,7,1,,,,,2,0,2,13,,14,14,1,14,,0,2,0,12,,163,23,,,,111,35,48,,,30,,,,,,,,,,52,70,39,,,31,,,,,,,,4,4,4,1,,,1,,,,0,27,18,18,18,13
File,"AbstractCache.java",AbstractCache.java,3,3,3,1,16,0,15,1,,,,,1,1,0,1,,1,0,0,1,,1,0,0,0,,46,3,,,,22,8,8,,,21,,,,,,,,,,9,13,8,,,5,,,,,,,,3,3,3,1,,,2,,,,0,95,3,3,3,1
File,"AbstractCassandraDaemon.java",AbstractCassandraDaemon.java,2,2,2,1,16,1,12,3,,,,,3,0,2,13,,15,15,3,15,,0,0,2,13,,313,40,,,,190,52,80,,,83,,,,,,,,,,87,121,55,,,66,,,,,,,,11,11,12,1,,,2,,,,0,44,28,28,29,13
File,"AbstractColumnIterator.java",AbstractColumnIterator.java,1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,37,5,,,,12,6,1,,,20,,,,,,,,,,4,7,6,,,1,,,,,,,,1,1,1,1,,,0,,,,1,67,2,2,2,2
File,"AbstractCommitLogExecutorService.java",AbstractCommitLogExecutorService.java,1,1,1,1,5,0,5,0,,,,,1,1,0,8,,8,7,1,8,,0,0,1,7,,90,12,,,,51,18,13,,,27,,,,,,,,,,18,28,18,,,10,,,,,,,,2,2,2,1,,,1,,,,0,53,9,9,9,8
File,"AbstractCompactedRow.java",AbstractCompactedRow.java,1,1,1,1,4,0,4,0,,,,,1,0,0,1,,5,5,1,5,,0,0,0,5,,63,9,,,,17,12,1,,,37,,,,,,,,,,11,13,12,,,1,,,,,,,,1,1,1,1,,,0,,,,2,18,1,1,1,1
